onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	209	209
4.1830000000	n/a	4183	202	202
6.2160000000	n/a	6216	205	205
8.3830000000	n/a	8383	207	207
10.5665000000	n/a	10566.5	204	204
12.8495000000	n/a	12849.5	208	208
15.0990000000	n/a	15099	203	203
17.6160000000	n/a	17616	201	201
21.2680000000	n/a	21268	210	210
24.8155000000	n/a	24815.5	207	207
26.9655000000	n/a	26965.5	209	209
29.1655000000	n/a	29165.5	204	204
31.4815000000	n/a	31481.5	203	203
33.5480000000	n/a	33548	206	206
35.9815000000	n/a	35981.5	202	202
37.9980000000	n/a	37998	205	205
40.1315000000	n/a	40131.5	201	201
43.7330000000	n/a	43733	210	210
46.8310000000	n/a	46831	207	207
48.9980000000	n/a	48998	203	203
51.4645000000	n/a	51464.5	202	202
53.6480000000	n/a	53648	209	209
55.6645000000	n/a	55664.5	208	208
58.0975000000	n/a	58097.5	206	206
60.4640000000	n/a	60464	201	201
62.4975000000	n/a	62497.5	204	204
65.8325000000	n/a	65832.5	211	211
89.1960000000	n/a	89196	1300	1300
91.6790000000	n/a	91679	2700	2700
94.1790000000	n/a	94179	3200	3200
96.4625000000	n/a	96462.5	4400	4400
98.7000614280	n/a	98700.0614	79997	79997
101.9325000000	n/a	101932.5	130	130
102.7985000000	n/a	102798.5	170	170
103.4480000000	n/a	103448	120	120
103.9650000000	n/a	103965	140	140
105.3455000000	n/a	105345.5	113	113
110.1620000000	n/a	110162	1100	1100
112.6620000000	n/a	112662	2700	2700
114.9615000000	n/a	114961.5	3500	3500
117.2785000000	n/a	117278.5	4800	4800
119.7785000000	n/a	119778.5	5400	5400
122.1012251249	n/a	122101.2251	79997	79997
125.0640000000	n/a	125064	110	110
125.8645000000	n/a	125864.5	170	170
126.5645000000	n/a	126564.5	150	150
127.0810000000	n/a	127081	180	180
127.6640000000	n/a	127664	140	140
129.0280000000	n/a	129028	113	113
133.5440000000	n/a	133544	1800	1800
135.8775000000	n/a	135877.5	2100	2100
138.1610000000	n/a	138161	3700	3700
140.4440000000	n/a	140444	4400	4400
142.7940000000	n/a	142794	5200	5200
145.1105000000	n/a	145110.5	6500	6500
147.4585808159	n/a	147458.5808	79997	79997
150.3970000000	n/a	150397	180	180
151.2295000000	n/a	151229.5	110	110
152.0635000000	n/a	152063.5	170	170
153.1965000000	n/a	153196.5	140	140
153.9960000000	n/a	153996	120	120
154.5130000000	n/a	154513	150	150
155.4605000000	n/a	155460.5	113	113
160.2765000000	n/a	160276.5	1400	1400
162.5765000000	n/a	162576.5	2800	2800
165.0935000000	n/a	165093.5	3900	3900
167.4430000000	n/a	167443	4100	4100
169.9260000000	n/a	169926	5700	5700
172.2260000000	n/a	172226	65000	65000
174.5095000000	n/a	174509.5	72000	72000
176.7061008782	n/a	176706.1009	79997	79997
179.4015000000	n/a	179401.5	140	140
179.9290000000	n/a	179929	180	180
180.4625000000	n/a	180462.5	190	190
181.1450000000	n/a	181145	110	110
181.9310000000	n/a	181931	170	170
182.7615000000	n/a	182761.5	121	121
185.6340000000	n/a	185634	151	151
186.8420000000	n/a	186842	114	114
191.8590000000	n/a	191859	1700	1700
194.1420000000	n/a	194142	2200	2200
196.6080000000	n/a	196608	3500	3500
198.9915000000	n/a	198991.5	46000	46000
201.3415000000	n/a	201341.5	59000	59000
203.7080000000	n/a	203708	64000	64000
206.0915000000	n/a	206091.5	73000	73000
208.4212089052	n/a	208421.2089	79997	79997
211.3610000000	n/a	211361	170	170
212.5935000000	n/a	212593.5	120	120
213.1270000000	n/a	213127	150	150
213.6425000000	n/a	213642.5	191	191
214.2605000000	n/a	214260.5	141	141
216.2280000000	n/a	216228	131	131
217.7440000000	n/a	217744	161	161
220.5240000000	n/a	220524	114	114
225.0405000000	n/a	225040.5	1200	1200
227.3075000000	n/a	227307.5	2500	2500
229.6570000000	n/a	229657	3900	3900
232.0400000000	n/a	232040	44000	44000
234.5570000000	n/a	234557	51000	51000
236.8735000000	n/a	236873.5	67000	67000
239.3735000000	n/a	239373.5	7300	7300
241.7003885204	n/a	241700.3885	79997	79997
244.6255000000	n/a	244625.5	120	120
245.1595000000	n/a	245159.5	150	150
246.2765000000	n/a	246276.5	190	190
247.3095000000	n/a	247309.5	111	111
247.9260000000	n/a	247926	171	171
249.3260000000	n/a	249326	141	141
250.0420000000	n/a	250042	130	130
251.2895000000	n/a	251289.5	114	114
255.7895000000	n/a	255789.5	1500	1500
258.1560000000	n/a	258156	2900	2900
260.6225000000	n/a	260622.5	3800	3800
263.0560000000	n/a	263056	4400	4400
265.5220000000	n/a	265522	5600	5600
267.8390000000	n/a	267839	6300	6300
270.3390000000	n/a	270339	7200	7200
272.6017452487	n/a	272601.7452	79997	79997
275.1430000000	n/a	275143	150	150
275.9750000000	n/a	275975	190	190
277.6250000000	n/a	277625	180	180
279.8410000000	n/a	279841	140	140
281.4415000000	n/a	281441.5	160	160
286.1240000000	n/a	286124	130	130
287.3240000000	n/a	287324	120	120
288.3215000000	n/a	288321.5	113	113
292.8375000000	n/a	292837.5	18000	18000
295.1380000000	n/a	295138	26000	26000
297.6375000000	n/a	297637.5	39000	39000
300.0875000000	n/a	300087.5	4700	4700
302.5375000000	n/a	302537.5	5400	5400
305.0040000000	n/a	305004	62000	62000
307.3705000000	n/a	307370.5	710000	710000
309.6875000000	n/a	309687.5	85	85
312.0602702566	n/a	312060.2703	79997	79997
314.9230000000	n/a	314923	151	151
315.7235000000	n/a	315723.5	191	191
316.4900000000	n/a	316490	181	181
317.2900000000	n/a	317290	170	170
317.8230000000	n/a	317823	140	140
318.6225000000	n/a	318622.5	111	111
319.4730000000	n/a	319473	132	132
321.0870000000	n/a	321087	115	115
325.6030000000	n/a	325603	1500	1500
327.9030000000	n/a	327903	2900	2900
330.3865000000	n/a	330386.5	3100	3100
332.7030000000	n/a	332703	48000	48000
335.0695000000	n/a	335069.5	57000	57000
337.3860000000	n/a	337386	6400	6400
339.7525000000	n/a	339752.5	7200	7200
342.0493850356	n/a	342049.385	79997	79997
344.7555000000	n/a	344755.5	150	150
345.5725000000	n/a	345572.5	190	190
346.3050000000	n/a	346305	110	110
348.2055000000	n/a	348205.5	171	171
349.5720000000	n/a	349572	181	181
350.1050000000	n/a	350105	140	140
350.6380000000	n/a	350638	120	120
351.8020000000	n/a	351802	114	114
356.3355000000	n/a	356335.5	1600	1600
358.7520000000	n/a	358752	2500	2500
361.2015000000	n/a	361201.5	3800	3800
363.6680000000	n/a	363668	4100	4100
366.0850000000	n/a	366085	5400	5400
368.4015000000	n/a	368401.5	6700	6700
370.7515000000	n/a	370751.5	7300	7300
373.0905730168	n/a	373090.573	79997	79997
375.7875000000	n/a	375787.5	160	160
376.3040000000	n/a	376304	150	150
377.4045000000	n/a	377404.5	180	180
378.4365000000	n/a	378436.5	110	110
378.9540000000	n/a	378954	140	140
379.4875000000	n/a	379487.5	170	170
380.4035000000	n/a	380403.5	130	130
381.6840000000	n/a	381684	113	113
397.4170000000	n/a	397417	207	207
399.4835000000	n/a	399483.5	205	205
401.9665000000	n/a	401966.5	208	208
404.0665000000	n/a	404066.5	209	209
406.2995000000	n/a	406299.5	201	201
408.7165000000	n/a	408716.5	203	203
410.7665000000	n/a	410766.5	206	206
413.1495000000	n/a	413149.5	204	204
416.3350000000	n/a	416335	210	210
419.3990000000	n/a	419399	209	209
421.4325000000	n/a	421432.5	202	202
423.8160000000	n/a	423816	203	203
426.2990000000	n/a	426299	208	208
428.3490000000	n/a	428349	206	206
430.6155000000	n/a	430615.5	207	207
432.6320000000	n/a	432632	205	205
434.8655000000	n/a	434865.5	201	201
437.9170000000	n/a	437917	210	210
440.9820000000	n/a	440982	209	209
443.4480000000	n/a	443448	206	206
445.8145000000	n/a	445814.5	208	208
448.3150000000	n/a	448315	202	202
450.4315000000	n/a	450431.5	205	205
452.8810000000	n/a	452881	203	203
455.2480000000	n/a	455248	201	201
457.5310000000	n/a	457531	204	204
460.9325000000	n/a	460932.5	210	210
473.3470000000	n/a	473347	1800	1800
475.8135000000	n/a	475813.5	2500	2500
478.3305000000	n/a	478330.5	3300	3300
480.6800000000	n/a	480680	4600	4600
482.9800000000	n/a	482980	5900	5900
485.4805000000	n/a	485480.5	6700	6700
487.8465000000	n/a	487846.5	7100	7100
490.3295000000	n/a	490329.5	8200	8200
492.6794934082	n/a	492679.4934	79997	79997
495.4660000000	n/a	495466	180	180
495.9775000000	n/a	495977.5	150	150
496.4995000000	n/a	496499.5	130	130
497.3660000000	n/a	497366	160	160
497.9005000000	n/a	497900.5	190	190
498.4325000000	n/a	498432.5	170	170
499.6485000000	n/a	499648.5	110	110
500.3985000000	n/a	500398.5	120	120
501.4625000000	n/a	501462.5	113	113
506.1625000000	n/a	506162.5	1200	1200
508.4620000000	n/a	508462	2600	2600
510.8955000000	n/a	510895.5	3900	3900
513.2455000000	n/a	513245.5	4100	4100
515.6285000000	n/a	515628.5	5300	5300
518.0120000000	n/a	518012	65000	65000
520.3450000000	n/a	520345	74000	74000
522.8615000000	n/a	522861.5	8800	8800
525.3115000000	n/a	525311.5	9700	9700
527.7029792430	n/a	527702.9792	79997	79997
531.4640000000	n/a	531464	120	120
532.1645000000	n/a	532164.5	160	160
532.6980000000	n/a	532698	190	190
533.2970000000	n/a	533297	110	110
533.9640000000	n/a	533964	130	130
543.7640000000	n/a	543764	141	141
544.2805000000	n/a	544280.5	151	151
545.4640000000	n/a	545464	180	180
546.4640000000	n/a	546464	170	170
547.7775000000	n/a	547777.5	114	114
552.3105000000	n/a	552310.5	1600	1600
554.6440000000	n/a	554644	2100	2100
556.9605000000	n/a	556960.5	3700	3700
559.3600000000	n/a	559360	4400	4400
561.7775000000	n/a	561777.5	5300	5300
564.1935000000	n/a	564193.5	62000	62000
566.6935000000	n/a	566693.5	79000	79000
568.9765000000	n/a	568976.5	85	85
571.2984226940	n/a	571298.4227	79997	79997
574.3625000000	n/a	574362.5	160	160
576.1455000000	n/a	576145.5	110	110
577.0130000000	n/a	577013	170	170
577.9290000000	n/a	577929	140	140
579.5120000000	n/a	579512	130	130
585.2135000000	n/a	585213.5	191	191
585.7790000000	n/a	585779	151	151
586.9260000000	n/a	586926	115	115
591.4260000000	n/a	591426	1700	1700
593.8755000000	n/a	593875.5	2900	2900
596.2420000000	n/a	596242	3200	3200
598.6755000000	n/a	598675.5	4300	4300
601.0415000000	n/a	601041.5	5600	5600
603.5255000000	n/a	603525.5	6800	6800
605.9920000000	n/a	605992	7100	7100
608.2495359549	n/a	608249.536	79997	79997
611.2115000000	n/a	611211.5	170	170
612.1115000000	n/a	612111.5	190	190
613.2275000000	n/a	613227.5	120	120
615.4605000000	n/a	615460.5	130	130
616.0445000000	n/a	616044.5	160	160
616.7615000000	n/a	616761.5	180	180
617.5770000000	n/a	617577	110	110
619.2410000000	n/a	619241	113	113
623.7905000000	n/a	623790.5	1800	1800
626.1410000000	n/a	626141	2200	2200
628.5740000000	n/a	628574	3600	3600
631.0405000000	n/a	631040.5	44000	44000
633.3240000000	n/a	633324	55000	55000
635.8075000000	n/a	635807.5	6700	6700
638.2740000000	n/a	638274	7900	7900
640.6070000000	n/a	640607	8100	8100
642.9213873000	n/a	642921.3873	79997	79997
646.7270000000	n/a	646727	180	180
648.0925000000	n/a	648092.5	120	120
648.8430000000	n/a	648843	160	160
649.5760000000	n/a	649576	151	151
651.0425000000	n/a	651042.5	141	141
654.4760000000	n/a	654476	170	170
655.0765000000	n/a	655076.5	190	190
655.9090000000	n/a	655909	110	110
657.1895000000	n/a	657189.5	114	114
661.7060000000	n/a	661706	1800	1800
664.0560000000	n/a	664056	2400	2400
666.5055000000	n/a	666505.5	3200	3200
668.9725000000	n/a	668972.5	4100	4100
671.4560000000	n/a	671456	5500	5500
673.8055000000	n/a	673805.5	6300	6300
676.1555000000	n/a	676155.5	7600	7600
678.4555000000	n/a	678455.5	8900	8900
680.6633235428	n/a	680663.3235	79997	79997
683.3585000000	n/a	683358.5	180	180
683.9915000000	n/a	683991.5	140	140
684.6575000000	n/a	684657.5	120	120
685.3240000000	n/a	685324	110	110
685.8580000000	n/a	685858	150	150
686.3910000000	n/a	686391	130	130
686.9080000000	n/a	686908	160	160
687.4250000000	n/a	687425	190	190
688.6880000000	n/a	688688	113	113
693.1880000000	n/a	693188	1300	1300
695.5050000000	n/a	695505	2700	2700
697.8715000000	n/a	697871.5	3200	3200
700.2880000000	n/a	700288	41000	41000
702.6215000000	n/a	702621.5	59000	59000
705.0875000000	n/a	705087.5	68000	68000
707.5205000000	n/a	707520.5	74000	74000
709.9710000000	n/a	709971	85	85
712.2375000000	n/a	712237.5	96	96
714.5674458851	n/a	714567.4459	79997	79997
717.4900000000	n/a	717490	130	130
718.4235000000	n/a	718423.5	170	170
719.1230000000	n/a	719123	120	120
719.9570000000	n/a	719957	191	191
721.6565000000	n/a	721656.5	141	141
722.1890000000	n/a	722189	111	111
722.7065000000	n/a	722706.5	161	161
726.1870000000	n/a	726187	115	115
731.0200000000	n/a	731020	1800	1800
733.3700000000	n/a	733370	2100	2100
735.8030000000	n/a	735803	36000	36000
738.1030000000	n/a	738103	42000	42000
740.3865000000	n/a	740386.5	590000	590000
742.8365000000	n/a	742836.5	64000	64000
745.1860000000	n/a	745186	75000	75000
747.6860000000	n/a	747686	87000	87000
750.1159838670	n/a	750115.9839	79997	79997
754.2575000000	n/a	754257.5	180	180
755.3215000000	n/a	755321.5	110	110
757.1050000000	n/a	757105	121	121
757.9725000000	n/a	757972.5	191	191
759.5715000000	n/a	759571.5	132	132
760.5885000000	n/a	760588.5	151	151
761.1385000000	n/a	761138.5	171	171
761.7715000000	n/a	761771.5	161	161
762.6850000000	n/a	762685	115	115
767.1850000000	n/a	767185	19000	19000
769.6185000000	n/a	769618.5	28000	28000
