onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	203	203
4.4500000000	n/a	4450	201	201
6.5160000000	n/a	6516	209	209
8.6325000000	n/a	8632.5	205	205
10.7995000000	n/a	10799.5	207	207
13.2495000000	n/a	13249.5	206	206
15.6325000000	n/a	15632.5	204	204
17.9490000000	n/a	17949	208	208
23.0505000000	n/a	23050.5	210	210
26.1320000000	n/a	26132	204	204
28.2820000000	n/a	28282	208	208
30.6485000000	n/a	30648.5	201	201
32.9155000000	n/a	32915.5	203	203
35.0320000000	n/a	35032	202	202
37.1145000000	n/a	37114.5	209	209
39.4650000000	n/a	39465	205	205
41.5480000000	n/a	41548	207	207
45.0500000000	n/a	45050	210	210
48.3645000000	n/a	48364.5	203	203
50.8475000000	n/a	50847.5	205	205
53.1975000000	n/a	53197.5	206	206
55.5640000000	n/a	55564	207	207
58.0140000000	n/a	58014	201	201
60.1805000000	n/a	60180.5	202	202
62.6975000000	n/a	62697.5	204	204
65.0475000000	n/a	65047.5	208	208
68.7815000000	n/a	68781.5	210	210
104.4120000000	n/a	104412	1700	1700
106.8455000000	n/a	106845.5	2400	2400
109.2955000000	n/a	109295.5	3800	3800
111.6285000000	n/a	111628.5	4300	4300
113.9484785440	n/a	113948.4785	79997	79997
117.6975000000	n/a	117697.5	170	170
118.8970000000	n/a	118897	140	140
119.8650000000	n/a	119865	180	180
121.1140000000	n/a	121114	130	130
125.3610000000	n/a	125361	113	113
129.8610000000	n/a	129861	1800	1800
132.1610000000	n/a	132161	2100	2100
134.5440000000	n/a	134544	3300	3300
136.9110000000	n/a	136911	4400	4400
139.3775000000	n/a	139377.5	5600	5600
141.6427604800	n/a	141642.7605	79997	79997
144.6635000000	n/a	144663.5	180	180
145.9955000000	n/a	145995.5	110	110
147.0625000000	n/a	147062.5	130	130
148.2625000000	n/a	148262.5	140	140
149.9960000000	n/a	149996	160	160
151.2935000000	n/a	151293.5	113	113
155.8435000000	n/a	155843.5	1300	1300
158.3095000000	n/a	158309.5	2200	2200
160.7935000000	n/a	160793.5	3900	3900
163.2595000000	n/a	163259.5	4700	4700
165.5925000000	n/a	165592.5	5800	5800
167.9595000000	n/a	167959.5	6600	6600
170.3859834110	n/a	170385.9834	79997	79997
173.7780000000	n/a	173778	130	130
175.0455000000	n/a	175045.5	120	120
176.3615000000	n/a	176361.5	190	190
177.5615000000	n/a	177561.5	170	170
178.5120000000	n/a	178512	180	180
179.3115000000	n/a	179311.5	160	160
181.5925000000	n/a	181592.5	113	113
186.2090000000	n/a	186209	17000	17000
188.5420000000	n/a	188542	23000	23000
190.8920000000	n/a	190892	3400	3400
193.2915000000	n/a	193291.5	45000	45000
195.6915000000	n/a	195691.5	59000	59000
198.0915000000	n/a	198091.5	66000	66000
200.5580000000	n/a	200558	72	72
202.8554759360	n/a	202855.4759	79997	79997
206.7770000000	n/a	206777	131	131
208.5270000000	n/a	208527	171	171
209.3265000000	n/a	209326.5	140	140
210.3940000000	n/a	210394	191	191
211.4930000000	n/a	211493	151	151
212.2760000000	n/a	212276	121	121
214.0910000000	n/a	214091	115	115
218.8410000000	n/a	218841	1200	1200
221.1400000000	n/a	221140	2800	2800
223.5240000000	n/a	223524	3300	3300
226.0235000000	n/a	226023.5	4400	4400
228.4740000000	n/a	228474	5700	5700
230.9570000000	n/a	230957	660000	660000
233.4027249290	n/a	233402.7249	79997	79997
237.0100000000	n/a	237010	120	120
238.0440000000	n/a	238044	180	180
239.2255000000	n/a	239225.5	130	130
240.1755000000	n/a	240175.5	140	140
241.2425000000	n/a	241242.5	170	170
242.3425000000	n/a	242342.5	192	192
245.4895000000	n/a	245489.5	115	115
249.9895000000	n/a	249989.5	1200	1200
252.4060000000	n/a	252406	2400	2400
254.7895000000	n/a	254789.5	3900	3900
257.0560000000	n/a	257056	4600	4600
259.3555000000	n/a	259355.5	5800	5800
261.7850919070	n/a	261785.0919	79997	79997
265.0410000000	n/a	265041	120	120
265.8100000000	n/a	265810	140	140
266.6750000000	n/a	266675	190	190
267.4080000000	n/a	267408	160	160
268.2415000000	n/a	268241.5	180	180
269.5220000000	n/a	269522	113	113
274.0220000000	n/a	274022	1600	1600
276.4550000000	n/a	276455	2800	2800
278.8720000000	n/a	278872	3200	3200
281.3550000000	n/a	281355	4400	4400
283.7050000000	n/a	283705	5300	5300
286.0380000000	n/a	286038	6500	6500
288.4741306975	n/a	288474.1307	79997	79997
291.4415000000	n/a	291441.5	160	160
292.3405000000	n/a	292340.5	180	180
293.0735000000	n/a	293073.5	120	120
293.7895000000	n/a	293789.5	140	140
294.7065000000	n/a	294706.5	130	130
295.3400000000	n/a	295340	150	150
296.5210000000	n/a	296521	113	113
301.0710000000	n/a	301071	1600	1600
303.4540000000	n/a	303454	2200	2200
305.9875000000	n/a	305987.5	3500	3500
308.4200000000	n/a	308420	4100	4100
310.7370000000	n/a	310737	5700	5700
313.0370000000	n/a	313037	6900	6900
315.3205000000	n/a	315320.5	7300	7300
317.5189406760	n/a	317518.9407	79997	79997
320.6390000000	n/a	320639	160	160
321.6055000000	n/a	321605.5	120	120
322.1890000000	n/a	322189	150	150
323.5720000000	n/a	323572	110	110
324.9050000000	n/a	324905	170	170
326.3060000000	n/a	326306	190	190
327.7550000000	n/a	327755	130	130
330.4195000000	n/a	330419.5	113	113
335.1360000000	n/a	335136	1900	1900
337.5360000000	n/a	337536	2500	2500
340.0355000000	n/a	340035.5	3200	3200
342.5190000000	n/a	342519	46000	46000
344.8525000000	n/a	344852.5	57000	57000
347.3185000000	n/a	347318.5	6300	6300
349.6020000000	n/a	349602	7100	7100
351.8685000000	n/a	351868.5	88	88
354.1532872220	n/a	354153.2872	79997	79997
357.4545000000	n/a	357454.5	190	190
358.3875000000	n/a	358387.5	150	150
360.6200000000	n/a	360620	120	120
362.1040000000	n/a	362104	171	171
363.4205000000	n/a	363420.5	161	161
364.1535000000	n/a	364153.5	130	130
366.2700000000	n/a	366270	110	110
367.4515000000	n/a	367451.5	115	115
371.9845000000	n/a	371984.5	15000	15000
374.3180000000	n/a	374318	23000	23000
376.7510000000	n/a	376751	3900	3900
379.0175000000	n/a	379017.5	4200	4200
381.4840000000	n/a	381484	57000	57000
383.8675000000	n/a	383867.5	64000	64000
386.1840000000	n/a	386184	7600	7600
388.4885381630	n/a	388488.5382	79997	79997
392.1190000000	n/a	392119	131	131
392.9860000000	n/a	392986	151	151
393.9195000000	n/a	393919.5	190	190
396.5690000000	n/a	396569	120	120
397.5020000000	n/a	397502	141	141
398.1520000000	n/a	398152	171	171
399.3525000000	n/a	399352.5	160	160
401.2165000000	n/a	401216.5	114	114
417.8160000000	n/a	417816	206	206
420.2160000000	n/a	420216	208	208
422.6995000000	n/a	422699.5	201	201
424.9325000000	n/a	424932.5	204	204
427.0660000000	n/a	427066	207	207
429.5655000000	n/a	429565.5	202	202
431.9820000000	n/a	431982	209	209
435.6000000000	n/a	435600	210	210
438.7485000000	n/a	438748.5	201	201
441.1645000000	n/a	441164.5	204	204
443.6150000000	n/a	443615	209	209
446.0315000000	n/a	446031.5	208	208
448.2480000000	n/a	448248	202	202
450.4980000000	n/a	450498	206	206
452.8815000000	n/a	452881.5	205	205
455.0145000000	n/a	455014.5	207	207
458.3660000000	n/a	458366	210	210
461.4475000000	n/a	461447.5	204	204
463.6305000000	n/a	463630.5	206	206
466.0470000000	n/a	466047	201	201
468.4475000000	n/a	468447.5	207	207
470.7310000000	n/a	470731	203	203
472.8305000000	n/a	472830.5	205	205
474.9630000000	n/a	474963	202	202
477.1800000000	n/a	477180	208	208
480.2815000000	n/a	480281.5	210	210
500.3130000000	n/a	500313	1900	1900
502.6290000000	n/a	502629	2100	2100
505.0625000000	n/a	505062.5	3700	3700
507.5120000000	n/a	507512	45000	45000
509.9790000000	n/a	509979	58000	58000
512.3290000000	n/a	512329	62	62
514.7285000000	n/a	514728.5	76	76
516.9527870470	n/a	516952.787	79997	79997
520.0810000000	n/a	520081	190	190
521.0305000000	n/a	521030.5	110	110
523.2975000000	n/a	523297.5	150	150
524.0135000000	n/a	524013.5	121	121
526.4975000000	n/a	526497.5	181	181
527.6950000000	n/a	527695	115	115
532.5445000000	n/a	532544.5	1100	1100
534.9445000000	n/a	534944.5	2400	2400
537.2275000000	n/a	537227.5	3900	3900
539.5610000000	n/a	539561	4500	4500
541.9945000000	n/a	541994.5	56000	56000
544.2945000000	n/a	544294.5	62000	62000
546.7516570770	n/a	546751.6571	79997	79997
550.5955000000	n/a	550595.5	110	110
551.1460000000	n/a	551146	140	140
551.8800000000	n/a	551880	190	190
552.5125000000	n/a	552512.5	150	150
553.2790000000	n/a	553279	121	121
554.1465000000	n/a	554146.5	161	161
555.4270000000	n/a	555427	114	114
560.1935000000	n/a	560193.5	1900	1900
562.4765000000	n/a	562476.5	2800	2800
564.7765000000	n/a	564776.5	3500	3500
567.2600000000	n/a	567260	4300	4300
569.6095000000	n/a	569609.5	5400	5400
571.9930000000	n/a	571993	6200	6200
574.4084810460	n/a	574408.481	79997	79997
577.7285000000	n/a	577728.5	190	190
578.3290000000	n/a	578329	180	180
578.8450000000	n/a	578845	150	150
579.7115000000	n/a	579711.5	130	130
580.5810000000	n/a	580581	140	140
581.2780000000	n/a	581278	120	120
582.6925000000	n/a	582692.5	113	113
587.4925000000	n/a	587492.5	1300	1300
589.7755000000	n/a	589775.5	2500	2500
592.2255000000	n/a	592225.5	3900	3900
594.6590000000	n/a	594659	4100	4100
596.9920000000	n/a	596992	58000	58000
599.3085000000	n/a	599308.5	64000	64000
601.7750000000	n/a	601775	76	76
603.9818236820	n/a	603981.8237	79997	79997
607.3600000000	n/a	607360	130	130
608.0270000000	n/a	608027	150	150
608.6110000000	n/a	608611	190	190
610.9600000000	n/a	610960	110	110
612.2600000000	n/a	612260	141	141
613.2440000000	n/a	613244	181	181
616.2580000000	n/a	616258	115	115
620.7580000000	n/a	620758	1200	1200
623.0245000000	n/a	623024.5	2800	2800
625.3740000000	n/a	625374	3700	3700
627.6740000000	n/a	627674	4600	4600
629.9740000000	n/a	629974	5300	5300
632.3410000000	n/a	632341	6500	6500
634.6216639424	n/a	634621.6639	79997	79997
637.5255000000	n/a	637525.5	120	120
638.4465000000	n/a	638446.5	180	180
