onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	204	204
4.3990000000	n/a	4399	203	203
6.9155000000	n/a	6915.5	201	201
9.4155000000	n/a	9415.5	202	202
11.5325000000	n/a	11532.5	207	207
13.6820000000	n/a	13682	208	208
15.9990000000	n/a	15999	209	209
19.6340000000	n/a	19634	210	210
22.7320000000	n/a	22732	206	206
24.9820000000	n/a	24982	208	208
27.2985000000	n/a	27298.5	203	203
29.7980000000	n/a	29798	205	205
32.0485000000	n/a	32048.5	207	207
34.4650000000	n/a	34465	204	204
36.6810000000	n/a	36681	209	209
38.7310000000	n/a	38731	202	202
41.9000000000	n/a	41900	210	210
44.9640000000	n/a	44964	204	204
47.3810000000	n/a	47381	208	208
49.8640000000	n/a	49864	202	202
51.9810000000	n/a	51981	206	206
54.3640000000	n/a	54364	207	207
56.4305000000	n/a	56430.5	209	209
58.6970000000	n/a	58697	201	201
61.7830000000	n/a	61783	210	210
80.9790000000	n/a	80979	1600	1600
83.4460000000	n/a	83446	2200	2200
85.8295000000	n/a	85829.5	3400	3400
88.2790000000	n/a	88279	4300	4300
90.4873929758	n/a	90487.393	79997	79997
93.2985000000	n/a	93298.5	160	160
93.9985000000	n/a	93998.5	120	120
94.6315000000	n/a	94631.5	140	140
95.2980000000	n/a	95298	130	130
96.3120000000	n/a	96312	113	113
100.8285000000	n/a	100828.5	1700	1700
103.1450000000	n/a	103145	2500	2500
105.5450000000	n/a	105545	3100	3100
108.0115000000	n/a	108011.5	4900	4900
110.2950000000	n/a	110295	5300	5300
112.6472147240	n/a	112647.2147	79997	79997
115.7820000000	n/a	115782	170	170
116.3810000000	n/a	116381	150	150
117.0305000000	n/a	117030.5	110	110
117.7650000000	n/a	117765	190	190
118.3640000000	n/a	118364	130	130
119.7780000000	n/a	119778	113	113
124.2775000000	n/a	124277.5	1600	1600
126.6940000000	n/a	126694	2100	2100
129.0775000000	n/a	129077.5	3900	3900
131.3775000000	n/a	131377.5	4800	4800
133.7105000000	n/a	133710.5	5300	5300
136.0605000000	n/a	136060.5	6200	6200
138.3670497384	n/a	138367.0497	79997	79997
141.3635000000	n/a	141363.5	160	160
142.3130000000	n/a	142313	110	110
144.4315000000	n/a	144431.5	190	190
148.1135000000	n/a	148113.5	180	180
148.6460000000	n/a	148646	130	130
149.7625000000	n/a	149762.5	120	120
150.9935000000	n/a	150993.5	113	113
155.4930000000	n/a	155493	1400	1400
157.9595000000	n/a	157959.5	2900	2900
160.3595000000	n/a	160359.5	3700	3700
162.6425000000	n/a	162642.5	4600	4600
165.0760000000	n/a	165076	5500	5500
167.4755000000	n/a	167475.5	6200	6200
169.7425000000	n/a	169742.5	7100	7100
172.0899131194	n/a	172089.9131	79997	79997
174.9120000000	n/a	174912	140	140
175.5455000000	n/a	175545.5	190	190
176.1955000000	n/a	176195.5	170	170
177.2785000000	n/a	177278.5	160	160
182.1780000000	n/a	182178	150	150
183.3450000000	n/a	183345	120	120
184.1445000000	n/a	184144.5	110	110
185.3915000000	n/a	185391.5	113	113
189.8915000000	n/a	189891.5	1200	1200
192.3415000000	n/a	192341.5	2800	2800
194.8245000000	n/a	194824.5	3100	3100
197.3245000000	n/a	197324.5	45000	45000
199.6410000000	n/a	199641	53000	53000
202.1575000000	n/a	202157.5	67000	67000
204.5410000000	n/a	204541	76000	76000
206.9080000000	n/a	206908	89	89
209.2805881593	n/a	209280.5882	79997	79997
212.0100000000	n/a	212010	120	120
212.9105000000	n/a	212910.5	180	180
214.4100000000	n/a	214410	110	110
215.4435000000	n/a	215443.5	131	131
217.4105000000	n/a	217410.5	171	171
218.7600000000	n/a	218760	151	151
219.7270000000	n/a	219727	191	191
222.0070000000	n/a	222007	115	115
226.6735000000	n/a	226673.5	1900	1900
229.0400000000	n/a	229040	2800	2800
231.3565000000	n/a	231356.5	3200	3200
233.8565000000	n/a	233856.5	4100	4100
236.3060000000	n/a	236306	5500	5500
238.7230000000	n/a	238723	6300	6300
240.9895000000	n/a	240989.5	7700	7700
243.3396560131	n/a	243339.656	79997	79997
246.1760000000	n/a	246176	190	190
247.0425000000	n/a	247042.5	180	180
247.8255000000	n/a	247825.5	120	120
248.8750000000	n/a	248875	110	110
251.2920000000	n/a	251292	150	150
252.0585000000	n/a	252058.5	130	130
252.9260000000	n/a	252926	170	170
253.9890000000	n/a	253989	113	113
258.4885000000	n/a	258488.5	1200	1200
260.8885000000	n/a	260888.5	2800	2800
263.2555000000	n/a	263255.5	3600	3600
265.5885000000	n/a	265588.5	4300	4300
267.9045000000	n/a	267904.5	55000	55000
270.2715000000	n/a	270271.5	67000	67000
272.7045000000	n/a	272704.5	79000	79000
275.1050000000	n/a	275105	81	81
277.4078683275	n/a	277407.8683	79997	79997
280.0080000000	n/a	280008	120	120
281.2910000000	n/a	281291	180	180
289.1575000000	n/a	289157.5	160	160
290.1735000000	n/a	290173.5	130	130
292.0405000000	n/a	292040.5	171	171
293.5240000000	n/a	293524	191	191
294.3730000000	n/a	294373	111	111
295.8705000000	n/a	295870.5	115	115
300.3705000000	n/a	300370.5	1500	1500
302.8040000000	n/a	302804	2400	2400
305.2035000000	n/a	305203.5	3700	3700
307.6200000000	n/a	307620	4300	4300
309.9035000000	n/a	309903.5	5900	5900
312.2035000000	n/a	312203.5	6800	6800
314.6035000000	n/a	314603.5	7200	7200
316.9697211019	n/a	316969.7211	79997	79997
319.7560000000	n/a	319756	150	150
320.5555000000	n/a	320555.5	140	140
321.4225000000	n/a	321422.5	170	170
322.7055000000	n/a	322705.5	130	130
326.4225000000	n/a	326422.5	190	190
330.0055000000	n/a	330005.5	180	180
330.9550000000	n/a	330955	120	120
331.9525000000	n/a	331952.5	113	113
336.9855000000	n/a	336985.5	1700	1700
339.2855000000	n/a	339285.5	2300	2300
341.6020000000	n/a	341602	3100	3100
343.9350000000	n/a	343935	4500	4500
346.3350000000	n/a	346335	5200	5200
348.8015000000	n/a	348801.5	6400	6400
351.1850000000	n/a	351185	7600	7600
353.6850000000	n/a	353685	89	89
355.9898997039	n/a	355989.8997	79997	79997
358.7545000000	n/a	358754.5	170	170
361.0710000000	n/a	361071	110	110
362.5040000000	n/a	362504	150	150
373.1870000000	n/a	373187	120	120
375.5870000000	n/a	375587	140	140
376.2370000000	n/a	376237	160	160
377.3540000000	n/a	377354	190	190
378.3505000000	n/a	378350.5	113	113
382.9670000000	n/a	382967	18000	18000
385.2840000000	n/a	385284	26000	26000
387.5835000000	n/a	387583.5	37	37
389.9335000000	n/a	389933.5	4300	4300
392.3665000000	n/a	392366.5	5500	5500
394.7335000000	n/a	394733.5	6900	6900
397.0165000000	n/a	397016.5	7400	7400
399.5330000000	n/a	399533	8200	8200
