onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	207	207
4.4325000000	n/a	4432.5	204	204
6.7990000000	n/a	6799	206	206
9.1995000000	n/a	9199.5	209	209
11.2655000000	n/a	11265.5	201	201
13.6485000000	n/a	13648.5	203	203
15.6655000000	n/a	15665.5	208	208
17.8150000000	n/a	17815	202	202
21.0670000000	n/a	21067	211	211
24.1475000000	n/a	24147.5	202	202
26.5485000000	n/a	26548.5	204	204
28.9645000000	n/a	28964.5	209	209
31.1640000000	n/a	31164	201	201
33.2650000000	n/a	33265	207	207
35.3310000000	n/a	35331	203	203
37.7975000000	n/a	37797.5	206	206
41.0480000000	n/a	41048	210	210
44.4310000000	n/a	44431	205	205
46.7640000000	n/a	46764	208	208
49.0805000000	n/a	49080.5	203	203
51.3300000000	n/a	51330	206	206
53.8470000000	n/a	53847	202	202
56.2640000000	n/a	56264	209	209
58.5140000000	n/a	58514	207	207
60.7630000000	n/a	60763	201	201
64.0300000000	n/a	64030	210	210
92.1125000000	n/a	92112.5	1700	1700
94.5790000000	n/a	94579	2200	2200
96.9785000000	n/a	96978.5	3600	3600
99.2615000000	n/a	99261.5	4300	4300
101.4638989863	n/a	101463.899	79997	79997
104.3465000000	n/a	104346.5	170	170
105.5125000000	n/a	105512.5	120	120
106.2630000000	n/a	106263	160	160
107.4460000000	n/a	107446	130	130
108.7785000000	n/a	108778.5	113	113
113.2780000000	n/a	113278	1700	1700
115.6945000000	n/a	115694.5	2500	2500
118.0110000000	n/a	118011	3600	3600
120.4115000000	n/a	120411.5	4200	4200
122.6945000000	n/a	122694.5	5900	5900
125.0957063190	n/a	125095.7063	79997	79997
128.6125000000	n/a	128612.5	170	170
129.7285000000	n/a	129728.5	150	150
130.2455000000	n/a	130245.5	160	160
131.0615000000	n/a	131061.5	120	120
131.8455000000	n/a	131845.5	190	190
132.8940000000	n/a	132894	113	113
137.5440000000	n/a	137544	1200	1200
140.0605000000	n/a	140060.5	2500	2500
142.4600000000	n/a	142460	3400	3400
144.9100000000	n/a	144910	4900	4900
147.3435000000	n/a	147343.5	5700	5700
149.8595000000	n/a	149859.5	6300	6300
152.1705629852	n/a	152170.563	79997	79997
154.7605000000	n/a	154760.5	120	120
156.1105000000	n/a	156110.5	150	150
156.6270000000	n/a	156627	140	140
157.2280000000	n/a	157228	190	190
158.2605000000	n/a	158260.5	170	170
159.0270000000	n/a	159027	130	130
159.8590000000	n/a	159859	113	113
164.3590000000	n/a	164359	1800	1800
166.8755000000	n/a	166875.5	2200	2200
169.1760000000	n/a	169176	3600	3600
171.6425000000	n/a	171642.5	4400	4400
174.1095000000	n/a	174109.5	5300	5300
176.4425000000	n/a	176442.5	6700	6700
178.7085000000	n/a	178708.5	7500	7500
180.9766454480	n/a	180976.6454	79997	79997
184.5765000000	n/a	184576.5	180	180
185.0925000000	n/a	185092.5	120	120
185.7100000000	n/a	185710	160	160
187.0770000000	n/a	187077	140	140
190.4760000000	n/a	190476	130	130
191.0430000000	n/a	191043	170	170
192.1595000000	n/a	192159.5	150	150
193.0580000000	n/a	193058	113	113
197.8580000000	n/a	197858	1800	1800
200.2080000000	n/a	200208	2700	2700
202.5410000000	n/a	202541	3100	3100
205.0410000000	n/a	205041	4900	4900
207.3575000000	n/a	207357.5	5600	5600
209.7570000000	n/a	209757	6300	6300
212.1910000000	n/a	212191	7500	7500
214.5240000000	n/a	214524	8400	8400
216.8596620055	n/a	216859.662	79997	79997
219.3585000000	n/a	219358.5	180	180
221.0915000000	n/a	221091.5	170	170
221.9410000000	n/a	221941	110	110
223.4915000000	n/a	223491.5	190	190
224.0080000000	n/a	224008	160	160
224.9910000000	n/a	224991	130	130
225.8245000000	n/a	225824.5	150	150
226.6080000000	n/a	226608	140	140
227.3230000000	n/a	227323	113	113
232.2230000000	n/a	232223	1800	1800
234.6560000000	n/a	234656	2600	2600
237.1065000000	n/a	237106.5	3200	3200
239.5230000000	n/a	239523	4500	4500
241.9725000000	n/a	241972.5	5400	5400
244.2725000000	n/a	244272.5	6300	6300
246.7395000000	n/a	246739.5	7900	7900
249.1225000000	n/a	249122.5	8100	8100
251.5390000000	n/a	251539	9700	9700
253.7838946090	n/a	253783.8946	79997	79997
257.5580000000	n/a	257558	180	180
258.0900000000	n/a	258090	160	160
