onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	202	202
4.3830000000	n/a	4383	207	207
6.4160000000	n/a	6416	206	206
8.8495000000	n/a	8849.5	204	204
10.9830000000	n/a	10983	203	203
13.1490000000	n/a	13149	209	209
15.6325000000	n/a	15632.5	201	201
17.8655000000	n/a	17865.5	208	208
22.1010000000	n/a	22101	211	211
25.1655000000	n/a	25165.5	202	202
27.3985000000	n/a	27398.5	201	201
29.7320000000	n/a	29732	206	206
32.1315000000	n/a	32131.5	207	207
34.2480000000	n/a	34248	203	203
36.6315000000	n/a	36631.5	208	208
39.0980000000	n/a	39098	209	209
41.2815000000	n/a	41281.5	205	205
45.9995000000	n/a	45999.5	210	210
49.1980000000	n/a	49198	207	207
51.3810000000	n/a	51381	202	202
53.6640000000	n/a	53664	205	205
56.0810000000	n/a	56081	203	203
58.5475000000	n/a	58547.5	208	208
60.6805000000	n/a	60680.5	204	204
62.7475000000	n/a	62747.5	206	206
65.0970000000	n/a	65097	201	201
69.6150000000	n/a	69615	210	210
94.0625000000	n/a	94062.5	1700	1700
96.5125000000	n/a	96512.5	2800	2800
98.9950000000	n/a	98995	3300	3300
101.3955000000	n/a	101395.5	4500	4500
103.8247495210	n/a	103824.7495	79997	79997
108.4145000000	n/a	108414.5	170	170
109.6310000000	n/a	109631	180	180
112.2815000000	n/a	112281.5	130	130
113.4830000000	n/a	113483	150	150
118.1950000000	n/a	118195	113	113
122.7115000000	n/a	122711.5	1100	1100
125.0610000000	n/a	125061	2400	2400
127.5775000000	n/a	127577.5	3800	3800
130.0275000000	n/a	130027.5	4200	4200
132.3610000000	n/a	132361	5600	5600
134.6383881090	n/a	134638.3881	79997	79997
138.0625000000	n/a	138062.5	110	110
138.8795000000	n/a	138879.5	140	140
139.6805000000	n/a	139680.5	180	180
140.5295000000	n/a	140529.5	120	120
141.3130000000	n/a	141313	160	160
143.8435000000	n/a	143843.5	113	113
148.3435000000	n/a	148343.5	1600	1600
150.6435000000	n/a	150643.5	2900	2900
152.9435000000	n/a	152943.5	3200	3200
155.3930000000	n/a	155393	4800	4800
157.8100000000	n/a	157810	5300	5300
160.2265000000	n/a	160226.5	61	61
162.4161560560	n/a	162416.1561	79997	79997
165.5635000000	n/a	165563.5	160	160
168.9115000000	n/a	168911.5	120	120
169.7955000000	n/a	169795.5	180	180
170.8120000000	n/a	170812	130	130
171.6780000000	n/a	171678	110	110
172.9755000000	n/a	172975.5	113	113
177.5755000000	n/a	177575.5	1100	1100
179.8925000000	n/a	179892.5	2700	2700
182.2755000000	n/a	182275.5	36000	36000
184.7755000000	n/a	184775.5	42000	42000
187.0755000000	n/a	187075.5	59000	59000
189.4255000000	n/a	189425.5	630000	630000
191.9085000000	n/a	191908.5	7800	7800
194.1212825560	n/a	194121.2826	79997	79997
197.8435000000	n/a	197843.5	110	110
200.4275000000	n/a	200427.5	170	170
202.6770000000	n/a	202677	121	121
205.0110000000	n/a	205011	191	191
206.5435000000	n/a	206543.5	131	131
209.8280000000	n/a	209828	152	152
210.6270000000	n/a	210627	180	180
211.5740000000	n/a	211574	115	115
216.3575000000	n/a	216357.5	17000	17000
218.8575000000	n/a	218857.5	29000	29000
221.1575000000	n/a	221157.5	31000	31000
223.6570000000	n/a	223657	48000	48000
226.0070000000	n/a	226007	55000	55000
228.3070000000	n/a	228307	62000	62000
230.7376111270	n/a	230737.6111	79997	79997
235.6920000000	n/a	235692	111	111
238.4095000000	n/a	238409.5	171	171
239.7260000000	n/a	239726	191	191
240.8085000000	n/a	240808.5	121	121
241.8925000000	n/a	241892.5	181	181
242.9760000000	n/a	242976	151	151
244.2725000000	n/a	244272.5	114	114
249.0565000000	n/a	249056.5	1800	1800
251.4560000000	n/a	251456	2300	2300
253.9395000000	n/a	253939.5	3100	3100
256.4060000000	n/a	256406	4400	4400
258.6895000000	n/a	258689.5	5200	5200
261.0055000000	n/a	261005.5	6500	6500
263.2808963060	n/a	263280.8963	79997	79997
266.4080000000	n/a	266408	180	180
267.3575000000	n/a	267357.5	130	130
268.2740000000	n/a	268274	110	110
269.5575000000	n/a	269557.5	140	140
270.6240000000	n/a	270624	120	120
271.5580000000	n/a	271558	150	150
273.0220000000	n/a	273022	113	113
277.5380000000	n/a	277538	19000	19000
279.8045000000	n/a	279804.5	26000	26000
282.2550000000	n/a	282255	38000	38000
284.6045000000	n/a	284604.5	4400	4400
286.9710000000	n/a	286971	510000	510000
289.3705000000	n/a	289370.5	6300	6300
291.8045000000	n/a	291804.5	7700	7700
294.0961828860	n/a	294096.1829	79997	79997
297.4065000000	n/a	297406.5	161	161
301.1070000000	n/a	301107	181	181
302.3070000000	n/a	302307	191	191
303.9060000000	n/a	303906	140	140
308.9560000000	n/a	308956	122	122
309.7225000000	n/a	309722.5	130	130
310.6230000000	n/a	310623	170	170
311.9530000000	n/a	311953	115	115
316.9530000000	n/a	316953	1500	1500
319.2700000000	n/a	319270	2800	2800
321.7865000000	n/a	321786.5	3700	3700
324.2035000000	n/a	324203.5	4200	4200
326.5530000000	n/a	326553	5100	5100
329.0530000000	n/a	329053	660000	660000
331.4338948490	n/a	331433.8948	79997	79997
334.5385000000	n/a	334538.5	150	150
336.2720000000	n/a	336272	180	180
337.5385000000	n/a	337538.5	170	170
338.3215000000	n/a	338321.5	120	120
339.2045000000	n/a	339204.5	110	110
340.6720000000	n/a	340672	192	192
345.2520000000	n/a	345252	115	115
349.7520000000	n/a	349752	1600	1600
352.1020000000	n/a	352102	2100	2100
354.6015000000	n/a	354601.5	3200	3200
356.9515000000	n/a	356951.5	4700	4700
359.2850000000	n/a	359285	5900	5900
361.5786186030	n/a	361578.6186	79997	79997
364.4375000000	n/a	364437.5	160	160
367.0040000000	n/a	367004	110	110
368.2535000000	n/a	368253.5	120	120
369.8035000000	n/a	369803.5	170	170
374.8080000000	n/a	374808	190	190
376.0175000000	n/a	376017.5	113	113
380.5170000000	n/a	380517	1900	1900
382.8510000000	n/a	382851	2800	2800
385.3675000000	n/a	385367.5	3400	3400
387.8340000000	n/a	387834	47000	47000
390.2170000000	n/a	390217	53000	53000
392.7170000000	n/a	392717	65000	65000
395.0500103020	n/a	395050.0103	79997	79997
399.1360000000	n/a	399136	190	190
400.1360000000	n/a	400136	180	180
401.4855000000	n/a	401485.5	140	140
403.0355000000	n/a	403035.5	151	151
403.8690000000	n/a	403869	171	171
405.0185000000	n/a	405018.5	131	131
406.5000000000	n/a	406500	114	114
419.8825000000	n/a	419882.5	207	207
422.0325000000	n/a	422032.5	206	206
424.0825000000	n/a	424082.5	205	205
426.2990000000	n/a	426299	201	201
428.4990000000	n/a	428499	202	202
430.6320000000	n/a	430632	203	203
432.7820000000	n/a	432782	209	209
434.8150000000	n/a	434815	208	208
439.0665000000	n/a	439066.5	210	210
442.1485000000	n/a	442148.5	201	201
444.4980000000	n/a	444498	209	209
446.6315000000	n/a	446631.5	205	205
448.9150000000	n/a	448915	204	204
451.2145000000	n/a	451214.5	208	208
453.5475000000	n/a	453547.5	202	202
455.7475000000	n/a	455747.5	203	203
457.9640000000	n/a	457964	207	207
461.8990000000	n/a	461899	210	210
464.9975000000	n/a	464997.5	203	203
467.1635000000	n/a	467163.5	201	201
469.4470000000	n/a	469447	202	202
471.7140000000	n/a	471714	209	209
474.1140000000	n/a	474114	204	204
476.1300000000	n/a	476130	205	205
478.6470000000	n/a	478647	206	206
481.0635000000	n/a	481063.5	207	207
484.7980000000	n/a	484798	210	210
499.0290000000	n/a	499029	18000	18000
501.5125000000	n/a	501512.5	22000	22000
503.8125000000	n/a	503812.5	39000	39000
506.2295000000	n/a	506229.5	46000	46000
508.7120000000	n/a	508712	5500	5500
511.1790000000	n/a	511179	6400	6400
513.5596205350	n/a	513559.6205	79997	79997
516.7640000000	n/a	516764	121	121
518.7325000000	n/a	518732.5	181	181
522.8645000000	n/a	522864.5	161	161
525.2810000000	n/a	525281	191	191
525.9475000000	n/a	525947.5	150	150
526.7640000000	n/a	526764	140	140
528.3280000000	n/a	528328	114	114
532.8445000000	n/a	532844.5	1800	1800
535.2445000000	n/a	535244.5	2400	2400
537.7275000000	n/a	537727.5	3100	3100
540.0775000000	n/a	540077.5	4900	4900
542.5280000000	n/a	542528	5300	5300
544.9110000000	n/a	544911	6200	6200
547.3369150770	n/a	547336.9151	79997	79997
