onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	206	206
4.5000000000	n/a	4500	201	201
6.5325000000	n/a	6532.5	207	207
8.8995000000	n/a	8899.5	208	208
11.1160000000	n/a	11116	205	205
13.1825000000	n/a	13182.5	202	202
15.4990000000	n/a	15499	204	204
17.6820000000	n/a	17682	203	203
22.4840000000	n/a	22484	210	210
25.5650000000	n/a	25565	209	209
27.9655000000	n/a	27965.5	203	203
30.0490000000	n/a	30049	204	204
32.5485000000	n/a	32548.5	201	201
35.0485000000	n/a	35048.5	208	208
37.1485000000	n/a	37148.5	202	202
39.2150000000	n/a	39215	206	206
44.0825000000	n/a	44082.5	210	210
47.1810000000	n/a	47181	209	209
49.2310000000	n/a	49231	201	201
51.6645000000	n/a	51664.5	202	202
53.8140000000	n/a	53814	207	207
56.1140000000	n/a	56114	204	204
58.2140000000	n/a	58214	208	208
60.3140000000	n/a	60314	206	206
63.9485000000	n/a	63948.5	210	210
99.3960000000	n/a	99396	1400	1400
101.7960000000	n/a	101796	2500	2500
104.0620000000	n/a	104062	3100	3100
106.3955000000	n/a	106395.5	4900	4900
108.6060478410	n/a	108606.0478	79997	79997
113.6640000000	n/a	113664	140	140
114.8140000000	n/a	114814	150	150
116.7135000000	n/a	116713.5	110	110
117.9310000000	n/a	117931	190	190
120.2615000000	n/a	120261.5	113	113
125.2445000000	n/a	125244.5	1600	1600
127.7280000000	n/a	127728	2700	2700
130.2275000000	n/a	130227.5	390000	390000
132.7110000000	n/a	132711	45000	45000
135.0945000000	n/a	135094.5	5200	5200
137.4023603000	n/a	137402.3603	79997	79997
141.2630000000	n/a	141263	160	160
142.5795000000	n/a	142579.5	170	170
144.3295000000	n/a	144329.5	182	182
146.8465000000	n/a	146846.5	191	191
148.1120000000	n/a	148112	120	120
150.4105000000	n/a	150410.5	115	115
155.3100000000	n/a	155310	1100	1100
157.7770000000	n/a	157777	2800	2800
160.0930000000	n/a	160093	340000	340000
162.4420000000	n/a	162442	4300	4300
164.8428856900	n/a	164842.8857	79997	79997
168.0955000000	n/a	168095.5	110	110
170.2285000000	n/a	170228.5	180	180
172.0620000000	n/a	172062	172	172
173.4615000000	n/a	173461.5	130	130
175.4260000000	n/a	175426	115	115
180.1925000000	n/a	180192.5	1100	1100
182.4760000000	n/a	182476	2500	2500
184.8590000000	n/a	184859	3300	3300
187.1748416260	n/a	187174.8416	79997	79997
190.2440000000	n/a	190244	110	110
191.1280000000	n/a	191128	150	150
192.0105000000	n/a	192010.5	130	130
193.9750000000	n/a	193975	113	113
198.4915000000	n/a	198491.5	18000	18000
200.7915000000	n/a	200791.5	22000	22000
203.3080000000	n/a	203308	3500	3500
205.7245000000	n/a	205724.5	4300	4300
208.0179983360	n/a	208017.9983	79997	79997
211.2765000000	n/a	211276.5	121	121
212.2440000000	n/a	212244	181	181
213.1100000000	n/a	213110	150	150
213.9435000000	n/a	213943.5	130	130
215.1405000000	n/a	215140.5	114	114
219.6410000000	n/a	219641	1800	1800
222.1575000000	n/a	222157.5	2200	2200
224.5740000000	n/a	224574	3400	3400
227.0740000000	n/a	227074	4900	4900
229.4997985832	n/a	229499.7986	79997	79997
232.3760000000	n/a	232376	180	180
233.4425000000	n/a	233442.5	120	120
234.2090000000	n/a	234209	140	140
235.3930000000	n/a	235393	190	190
237.8735000000	n/a	237873.5	113	113
242.3730000000	n/a	242373	1900	1900
244.8400000000	n/a	244840	2800	2800
247.2230000000	n/a	247223	32000	32000
249.6395000000	n/a	249639.5	44000	44000
252.0725000000	n/a	252072.5	51000	51000
254.3371063150	n/a	254337.1063	79997	79997
257.5255000000	n/a	257525.5	190	190
258.6750000000	n/a	258675	180	180
262.9755000000	n/a	262975.5	141	141
264.7245000000	n/a	264724.5	111	111
265.9575000000	n/a	265957.5	121	121
267.8715000000	n/a	267871.5	114	114
272.3720000000	n/a	272372	1900	1900
274.8385000000	n/a	274838.5	260000	260000
277.3050000000	n/a	277305	37000	37000
279.6720000000	n/a	279672	43000	43000
282.0050000000	n/a	282005	5500	5500
284.4398205200	n/a	284439.8205	79997	79997
287.9240000000	n/a	287924	190	190
293.6905000000	n/a	293690.5	182	182
296.9065000000	n/a	296906.5	131	131
298.0905000000	n/a	298090.5	171	171
299.6565000000	n/a	299656.5	150	150
301.1040000000	n/a	301104	115	115
305.6205000000	n/a	305620.5	1100	1100
307.9875000000	n/a	307987.5	2700	2700
310.4205000000	n/a	310420.5	3800	3800
312.7375000000	n/a	312737.5	4200	4200
314.9642996848	n/a	314964.2997	79997	79997
317.8885000000	n/a	317888.5	110	110
318.6890000000	n/a	318689	170	170
320.4060000000	n/a	320406	180	180
321.5060000000	n/a	321506	120	120
322.9200000000	n/a	322920	113	113
327.4195000000	n/a	327419.5	1700	1700
329.7030000000	n/a	329703	2300	2300
331.9860000000	n/a	331986	36000	36000
334.3360000000	n/a	334336	490000	490000
336.8525000000	n/a	336852.5	5200	5200
339.2627553851	n/a	339262.7554	79997	79997
342.1380000000	n/a	342138	170	170
343.3210000000	n/a	343321	130	130
344.3215000000	n/a	344321.5	191	191
345.8545000000	n/a	345854.5	152	152
346.6210000000	n/a	346621	120	120
349.4190000000	n/a	349419	115	115
361.2685000000	n/a	361268.5	206	206
363.6350000000	n/a	363635	202	202
366.0015000000	n/a	366001.5	209	209
368.1845000000	n/a	368184.5	204	204
370.5850000000	n/a	370585	201	201
372.9845000000	n/a	372984.5	203	203
375.1015000000	n/a	375101.5	208	208
377.1845000000	n/a	377184.5	207	207
380.5685000000	n/a	380568.5	211	211
383.8340000000	n/a	383834	209	209
385.9005000000	n/a	385900.5	204	204
388.0845000000	n/a	388084.5	208	208
390.2675000000	n/a	390267.5	201	201
392.6505000000	n/a	392650.5	205	205
394.7005000000	n/a	394700.5	207	207
396.7835000000	n/a	396783.5	206	206
398.9500000000	n/a	398950	202	202
402.3850000000	n/a	402385	210	210
405.8165000000	n/a	405816.5	202	202
407.9500000000	n/a	407950	209	209
410.4330000000	n/a	410433	208	208
412.6495000000	n/a	412649.5	207	207
414.6995000000	n/a	414699.5	203	203
417.0995000000	n/a	417099.5	201	201
419.3990000000	n/a	419399	204	204
424.3335000000	n/a	424333.5	210	210
444.2985000000	n/a	444298.5	1400	1400
446.6815000000	n/a	446681.5	2100	2100
449.0480000000	n/a	449048	3600	3600
451.3815000000	n/a	451381.5	4500	4500
453.7297373290	n/a	453729.7373	79997	79997
456.8505000000	n/a	456850.5	140	140
457.9665000000	n/a	457966.5	110	110
459.1335000000	n/a	459133.5	160	160
460.0665000000	n/a	460066.5	150	150
461.5145000000	n/a	461514.5	113	113
466.0135000000	n/a	466013.5	1200	1200
468.3810000000	n/a	468381	2400	2400
470.8470000000	n/a	470847	3500	3500
473.2810000000	n/a	473281	4800	4800
475.7140000000	n/a	475714	5300	5300
478.0191783863	n/a	478019.1784	79997	79997
480.9320000000	n/a	480932	120	120
481.8660000000	n/a	481866	140	140
483.5160000000	n/a	483516	150	150
484.1995000000	n/a	484199.5	180	180
485.1490000000	n/a	485149	130	130
486.5300000000	n/a	486530	113	113
491.0465000000	n/a	491046.5	1800	1800
493.5130000000	n/a	493513	2500	2500
495.9960000000	n/a	495996	3400	3400
498.4460000000	n/a	498446	4900	4900
500.7125000000	n/a	500712.5	5600	5600
503.2130000000	n/a	503213	6300	6300
505.4625764500	n/a	505462.5764	79997	79997
510.2480000000	n/a	510248	180	180
510.9980000000	n/a	510998	150	150
511.7480000000	n/a	511748	140	140
512.5815000000	n/a	512581.5	190	190
513.3145000000	n/a	513314.5	160	160
514.0640000000	n/a	514064	130	130
515.5955000000	n/a	515595.5	113	113
520.1955000000	n/a	520195.5	1900	1900
522.5950000000	n/a	522595	2300	2300
524.9450000000	n/a	524945	3800	3800
527.4115000000	n/a	527411.5	44000	44000
529.7285000000	n/a	529728.5	5700	5700
532.1780000000	n/a	532178	660000	660000
534.4785000000	n/a	534478.5	720000	720000
536.8993168420	n/a	536899.3168	79997	79997
540.0140000000	n/a	540014	190	190
541.0300000000	n/a	541030	130	130
543.7800000000	n/a	543780	180	180
548.5130000000	n/a	548513	121	121
549.8135000000	n/a	549813.5	170	170
553.5295000000	n/a	553529.5	152	152
554.2790000000	n/a	554279	112	112
556.1105000000	n/a	556110.5	115	115
560.6270000000	n/a	560627	1300	1300
563.0275000000	n/a	563027.5	26000	26000
565.3940000000	n/a	565394	3400	3400
567.8270000000	n/a	567827	490000	490000
570.3270000000	n/a	570327	5200	5200
572.7435000000	n/a	572743.5	670000	670000
575.0159591390	n/a	575015.9591	79997	79997
578.0950000000	n/a	578095	130	130
579.0620000000	n/a	579062	191	191
580.2450000000	n/a	580245	140	140
581.1950000000	n/a	581195	182	182
582.6445000000	n/a	582644.5	120	120
583.5615000000	n/a	583561.5	152	152
585.0760000000	n/a	585076	115	115
589.8255000000	n/a	589825.5	1100	1100
592.2920000000	n/a	592292	2300	2300
594.6090000000	n/a	594609	3500	3500
596.9590000000	n/a	596959	4700	4700
599.3255000000	n/a	599325.5	520000	520000
601.7675259540	n/a	601767.526	79997	79997
604.8105000000	n/a	604810.5	110	110
605.6775000000	n/a	605677.5	130	130
606.4275000000	n/a	606427.5	150	150
611.9940000000	n/a	611994	170	170
615.2275000000	n/a	615227.5	182	182
616.5245000000	n/a	616524.5	115	115
621.2080000000	n/a	621208	1900	1900
623.5580000000	n/a	623558	2500	2500
625.9245000000	n/a	625924.5	3700	3700
628.4080000000	n/a	628408	4300	4300
630.8295987339	n/a	630829.5987	79997	79997
633.6935000000	n/a	633693.5	190	190
634.4765000000	n/a	634476.5	150	150
635.1100000000	n/a	635110	170	170
635.9425000000	n/a	635942.5	130	130
637.1410000000	n/a	637141	113	113
641.9240000000	n/a	641924	1100	1100
644.4070000000	n/a	644407	2900	2900
