onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	208	208
4.4490000000	n/a	4449	203	203
6.6825000000	n/a	6682.5	202	202
9.1320000000	n/a	9132	205	205
11.1985000000	n/a	11198.5	201	201
13.3320000000	n/a	13332	207	207
15.8150000000	n/a	15815	204	204
18.2990000000	n/a	18299	206	206
21.8660000000	n/a	21866	210	210
25.1145000000	n/a	25114.5	208	208
27.3480000000	n/a	27348	209	209
29.5480000000	n/a	29548	206	206
31.6980000000	n/a	31698	202	202
34.0645000000	n/a	34064.5	203	203
36.5310000000	n/a	36531	205	205
38.9140000000	n/a	38914	201	201
41.1645000000	n/a	41164.5	207	207
46.0490000000	n/a	46049	210	210
49.4140000000	n/a	49414	206	206
51.6805000000	n/a	51680.5	203	203
53.7805000000	n/a	53780.5	201	201
56.0305000000	n/a	56030.5	209	209
58.2635000000	n/a	58263.5	208	208
60.7300000000	n/a	60730	202	202
62.8135000000	n/a	62813.5	204	204
65.1635000000	n/a	65163.5	205	205
68.7985000000	n/a	68798.5	210	210
91.3950000000	n/a	91395	1700	1700
93.8285000000	n/a	93828.5	2200	2200
96.1950000000	n/a	96195	3900	3900
98.5450000000	n/a	98545	4500	4500
100.9296468900	n/a	100929.6469	79997	79997
104.1145000000	n/a	104114.5	170	170
105.5805000000	n/a	105580.5	120	120
106.6810000000	n/a	106681	190	190
107.7805000000	n/a	107780.5	150	150
108.9445000000	n/a	108944.5	113	113
113.6110000000	n/a	113611	1200	1200
115.8780000000	n/a	115878	2300	2300
118.1610000000	n/a	118161	3900	3900
120.6610000000	n/a	120661	4700	4700
123.1610000000	n/a	123161	5600	5600
125.5069216123	n/a	125506.9216	79997	79997
128.2130000000	n/a	128213	120	120
128.8130000000	n/a	128813	130	130
129.3635000000	n/a	129363.5	190	190
130.0800000000	n/a	130080	170	170
130.8965000000	n/a	130896.5	160	160
132.0940000000	n/a	132094	113	113
136.5935000000	n/a	136593.5	1300	1300
139.0100000000	n/a	139010	2700	2700
141.4935000000	n/a	141493.5	3900	3900
143.9930000000	n/a	143993	4500	4500
146.2935000000	n/a	146293.5	5200	5200
148.6435000000	n/a	148643.5	6600	6600
150.9208461344	n/a	150920.8461	79997	79997
153.8620000000	n/a	153862	130	130
154.6790000000	n/a	154679	170	170
155.5295000000	n/a	155529.5	190	190
156.2135000000	n/a	156213.5	150	150
158.1450000000	n/a	158145	120	120
158.7455000000	n/a	158745.5	160	160
159.8925000000	n/a	159892.5	113	113
164.4260000000	n/a	164426	1700	1700
166.7090000000	n/a	166709	2500	2500
169.1915000000	n/a	169191.5	3900	3900
171.5090000000	n/a	171509	4600	4600
173.9755000000	n/a	173975.5	5300	5300
176.2920000000	n/a	176292	6400	6400
178.5585000000	n/a	178558.5	7100	7100
180.8118735698	n/a	180811.8736	79997	79997
183.5955000000	n/a	183595.5	170	170
184.1775000000	n/a	184177.5	150	150
184.7115000000	n/a	184711.5	190	190
185.9275000000	n/a	185927.5	160	160
186.4605000000	n/a	186460.5	130	130
187.5110000000	n/a	187511	140	140
188.4770000000	n/a	188477	110	110
189.7080000000	n/a	189708	113	113
194.6575000000	n/a	194657.5	1900	1900
197.1080000000	n/a	197108	2100	2100
199.5080000000	n/a	199508	3300	3300
201.7905000000	n/a	201790.5	4800	4800
204.0910000000	n/a	204091	57000	57000
206.5410000000	n/a	206541	64	64
208.9240000000	n/a	208924	7600	7600
211.3075000000	n/a	211307.5	8500	8500
213.5220965830	n/a	213522.0966	79997	79997
216.9600000000	n/a	216960	190	190
217.8090000000	n/a	217809	110	110
219.1260000000	n/a	219126	130	130
219.7430000000	n/a	219743	180	180
220.2925000000	n/a	220292.5	141	141
223.1930000000	n/a	223193	140	140
223.8595000000	n/a	223859.5	160	160
224.9425000000	n/a	224942.5	150	150
225.9400000000	n/a	225940	113	113
230.4900000000	n/a	230490	12	12
232.9895000000	n/a	232989.5	2800	2800
235.3060000000	n/a	235306	3700	3700
237.6890000000	n/a	237689	4100	4100
240.1890000000	n/a	240189	55000	55000
242.4895000000	n/a	242489.5	64000	64000
244.8225000000	n/a	244822.5	76000	76000
247.3225000000	n/a	247322.5	83000	83000
249.7725000000	n/a	249772.5	99	99
252.0114329708	n/a	252011.433	79997	79997
254.7075000000	n/a	254707.5	120	120
256.3580000000	n/a	256358	180	180
257.1580000000	n/a	257158	170	170
259.9745000000	n/a	259974.5	141	141
260.6575000000	n/a	260657.5	111	111
261.5910000000	n/a	261591	151	151
262.4740000000	n/a	262474	131	131
263.3580000000	n/a	263358	161	161
264.3720000000	n/a	264372	115	115
268.8880000000	n/a	268888	1500	1500
271.3050000000	n/a	271305	2700	2700
273.6880000000	n/a	273688	3600	3600
276.0880000000	n/a	276088	4800	4800
278.3545000000	n/a	278354.5	5100	5100
280.7375000000	n/a	280737.5	6200	6200
283.1040000000	n/a	283104	7900	7900
285.3710000000	n/a	285371	8300	8300
287.7188516920	n/a	287718.8517	79997	79997
290.9565000000	n/a	290956.5	150	150
291.4735000000	n/a	291473.5	170	170
292.1570000000	n/a	292157	160	160
293.3235000000	n/a	293323.5	180	180
293.9060000000	n/a	293906	110	110
294.8395000000	n/a	294839.5	120	120
