onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	204	204
4.4990000000	n/a	4499	206	206
6.7990000000	n/a	6799	208	208
8.9490000000	n/a	8949	202	202
11.2320000000	n/a	11232	203	203
13.5155000000	n/a	13515.5	209	209
15.7820000000	n/a	15782	207	207
19.7340000000	n/a	19734	210	210
22.9650000000	n/a	22965	204	204
24.9980000000	n/a	24998	205	205
27.2650000000	n/a	27265	203	203
29.7815000000	n/a	29781.5	201	201
32.0145000000	n/a	32014.5	207	207
34.2980000000	n/a	34298	209	209
36.5315000000	n/a	36531.5	208	208
38.7310000000	n/a	38731	202	202
42.3825000000	n/a	42382.5	210	210
45.8975000000	n/a	45897.5	206	206
48.0975000000	n/a	48097.5	205	205
50.3970000000	n/a	50397	209	209
52.4470000000	n/a	52447	208	208
54.9140000000	n/a	54914	201	201
57.1300000000	n/a	57130	207	207
59.4970000000	n/a	59497	203	203
61.7300000000	n/a	61730	204	204
65.3650000000	n/a	65365	210	210
87.3625000000	n/a	87362.5	1400	1400
89.7625000000	n/a	89762.5	2500	2500
92.0620000000	n/a	92062	3700	3700
94.4955000000	n/a	94495.5	4300	4300
96.8426046950	n/a	96842.6047	79997	79997
100.1825000000	n/a	100182.5	140	140
101.1145000000	n/a	101114.5	150	150
101.8980000000	n/a	101898	170	170
103.0975000000	n/a	103097.5	130	130
104.2285000000	n/a	104228.5	113	113
109.0115000000	n/a	109011.5	1800	1800
111.4450000000	n/a	111445	2200	2200
113.7615000000	n/a	113761.5	3500	3500
116.2610000000	n/a	116261	4400	4400
118.6110000000	n/a	118611	5100	5100
120.9014315790	n/a	120901.4316	79997	79997
124.7305000000	n/a	124730.5	180	180
125.3630000000	n/a	125363	120	120
126.1300000000	n/a	126130	150	150
127.5965000000	n/a	127596.5	140	140
128.3460000000	n/a	128346	110	110
130.0275000000	n/a	130027.5	113	113
134.5440000000	n/a	134544	1300	1300
136.8770000000	n/a	136877	2200	2200
139.1435000000	n/a	139143.5	3400	3400
141.4270000000	n/a	141427	4600	4600
143.9100000000	n/a	143910	5800	5800
146.3095000000	n/a	146309.5	6500	6500
148.4907351180	n/a	148490.7351	79997	79997
152.3285000000	n/a	152328.5	130	130
153.1285000000	n/a	153128.5	120	120
153.8120000000	n/a	153812	140	140
154.5455000000	n/a	154545.5	160	160
155.2125000000	n/a	155212.5	180	180
156.5455000000	n/a	156545.5	150	150
157.4425000000	n/a	157442.5	113	113
161.9760000000	n/a	161976	1200	1200
164.2425000000	n/a	164242.5	2600	2600
166.6925000000	n/a	166692.5	3400	3400
169.1255000000	n/a	169125.5	4900	4900
171.5755000000	n/a	171575.5	5300	5300
173.8755000000	n/a	173875.5	6800	6800
176.3420000000	n/a	176342	71	71
178.7327221170	n/a	178732.7221	79997	79997
183.8940000000	n/a	183894	120	120
185.0110000000	n/a	185011	140	140
185.5445000000	n/a	185544.5	190	190
186.1775000000	n/a	186177.5	130	130
186.8130000000	n/a	186813	180	180
188.6935000000	n/a	188693.5	110	110
190.0915000000	n/a	190091.5	113	113
194.7085000000	n/a	194708.5	1400	1400
197.0080000000	n/a	197008	2600	2600
199.3580000000	n/a	199358	3800	3800
201.6915000000	n/a	201691.5	4700	4700
204.1575000000	n/a	204157.5	5100	5100
206.6740000000	n/a	206674	6500	6500
208.9740000000	n/a	208974	7900	7900
211.4740000000	n/a	211474	8200	8200
213.8238843070	n/a	213823.8843	79997	79997
216.8605000000	n/a	216860.5	140	140
217.6265000000	n/a	217626.5	160	160
218.1595000000	n/a	218159.5	180	180
218.9430000000	n/a	218943	170	170
219.5255000000	n/a	219525.5	110	110
220.1260000000	n/a	220126	150	150
220.6930000000	n/a	220693	190	190
221.4255000000	n/a	221425.5	120	120
222.3740000000	n/a	222374	113	113
227.3570000000	n/a	227357	18000	18000
229.8400000000	n/a	229840	23000	23000
232.3395000000	n/a	232339.5	3700	3700
234.7065000000	n/a	234706.5	4200	4200
237.0060000000	n/a	237006	5900	5900
239.3395000000	n/a	239339.5	61000	61000
241.6225000000	n/a	241622.5	76000	76000
243.9390000000	n/a	243939	84	84
246.4390000000	n/a	246439	95	95
248.7291528400	n/a	248729.1528	79997	79997
255.6410000000	n/a	255641	151	151
257.0915000000	n/a	257091.5	161	161
258.5415000000	n/a	258541.5	170	170
259.1910000000	n/a	259191	120	120
259.9085000000	n/a	259908.5	190	190
261.2420000000	n/a	261242	141	141
261.7735000000	n/a	261773.5	111	111
262.8720000000	n/a	262872	115	115
267.3715000000	n/a	267371.5	1100	1100
269.6545000000	n/a	269654.5	2700	2700
272.0880000000	n/a	272088	3800	3800
274.3880000000	n/a	274388	4200	4200
276.6545000000	n/a	276654.5	5900	5900
278.9380000000	n/a	278938	6400	6400
281.3710000000	n/a	281371	7300	7300
283.7380000000	n/a	283738	8600	8600
286.1694796955	n/a	286169.4797	79997	79997
288.9075000000	n/a	288907.5	110	110
289.4570000000	n/a	289457	170	170
290.5405000000	n/a	290540.5	180	180
291.3395000000	n/a	291339.5	120	120
291.9235000000	n/a	291923.5	190	190
292.6415000000	n/a	292641.5	140	140
293.2230000000	n/a	293223	130	130
294.3435000000	n/a	294343.5	160	160
295.1205000000	n/a	295120.5	113	113
299.6535000000	n/a	299653.5	1100	1100
302.0205000000	n/a	302020.5	2800	2800
304.4205000000	n/a	304420.5	3900	3900
306.7370000000	n/a	306737	4200	4200
309.2530000000	n/a	309253	5600	5600
311.6700000000	n/a	311670	6700	6700
314.1035000000	n/a	314103.5	7500	7500
316.5365000000	n/a	316536.5	8400	8400
318.9695000000	n/a	318969.5	9300	9300
321.2376838456	n/a	321237.6838	79997	79997
323.7550000000	n/a	323755	110	110
324.4400000000	n/a	324440	180	180
324.9555000000	n/a	324955.5	190	190
325.6055000000	n/a	325605.5	120	120
326.1385000000	n/a	326138.5	160	160
326.7065000000	n/a	326706.5	170	170
327.6385000000	n/a	327638.5	150	150
328.6050000000	n/a	328605	140	140
329.2550000000	n/a	329255	130	130
330.8190000000	n/a	330819	113	113
335.5025000000	n/a	335502.5	15000	15000
338.0185000000	n/a	338018.5	21000	21000
340.5350000000	n/a	340535	37000	37000
342.8520000000	n/a	342852	48000	48000
345.2015000000	n/a	345201.5	5300	5300
347.6185000000	n/a	347618.5	6900	6900
350.0845000000	n/a	350084.5	7400	7400
352.4015000000	n/a	352401.5	8200	8200
354.8015000000	n/a	354801.5	96	96
357.1431853692	n/a	357143.1854	79997	79997
359.8365000000	n/a	359836.5	111	111
360.3535000000	n/a	360353.5	151	151
361.3045000000	n/a	361304.5	181	181
362.2040000000	n/a	362204	171	171
362.9035000000	n/a	362903.5	130	130
363.5040000000	n/a	363504	190	190
364.7030000000	n/a	364703	120	120
365.8705000000	n/a	365870.5	160	160
366.6510000000	n/a	366651	114	114
371.1505000000	n/a	371150.5	1800	1800
373.5175000000	n/a	373517.5	2600	2600
375.9505000000	n/a	375950.5	3100	3100
378.3840000000	n/a	378384	4700	4700
380.8335000000	n/a	380833.5	5500	5500
383.2000000000	n/a	383200	6300	6300
385.6330000000	n/a	385633	7400	7400
388.1330000000	n/a	388133	8200	8200
390.3747174124	n/a	390374.7174	79997	79997
393.0360000000	n/a	393036	180	180
393.7190000000	n/a	393719	160	160
394.8685000000	n/a	394868.5	110	110
396.7040000000	n/a	396704	170	170
397.6020000000	n/a	397602	150	150
398.1685000000	n/a	398168.5	130	130
398.7185000000	n/a	398718.5	140	140
399.5360000000	n/a	399536	120	120
400.4830000000	n/a	400483	113	113
410.3490000000	n/a	410349	207	207
412.6325000000	n/a	412632.5	205	205
415.1490000000	n/a	415149	201	201
417.6320000000	n/a	417632	208	208
419.9820000000	n/a	419982	206	206
422.1655000000	n/a	422165.5	202	202
