onset	duration	sample	value	trial_type
1.6870000000	n/a	1687	208	208
3.9035000000	n/a	3903.5	202	202
6.2530000000	n/a	6253	206	206
8.7200000000	n/a	8720	209	209
10.8365000000	n/a	10836.5	201	201
12.9530000000	n/a	12953	203	203
15.1365000000	n/a	15136.5	207	207
18.5540000000	n/a	18554	211	211
26.2690000000	n/a	26269	1400	1400
28.7520000000	n/a	28752	2300	2300
31.0360000000	n/a	31036	3900	3900
33.3185000000	n/a	33318.5	4200	4200
35.7190000000	n/a	35719	58000	58000
38.1185000000	n/a	38118.5	67	67
40.5020000000	n/a	40502	7100	7100
42.7685000000	n/a	42768.5	8500	8500
45.1015000000	n/a	45101.5	9600	9600
47.3020000000	n/a	47302	79997	79997
50.0035000000	n/a	50003.5	140	140
50.7535000000	n/a	50753.5	130	130
51.3375000000	n/a	51337.5	190	190
51.9535000000	n/a	51953.5	120	120
52.6370000000	n/a	52637	171	171
55.5375000000	n/a	55537.5	170	170
56.6195000000	n/a	56619.5	110	110
57.1365000000	n/a	57136.5	150	150
57.8370000000	n/a	57837	160	160
58.6845000000	n/a	58684.5	113	113
63.3010000000	n/a	63301	1100	1100
65.6010000000	n/a	65601	2400	2400
68.0175000000	n/a	68017.5	38000	38000
70.4175000000	n/a	70417.5	47000	47000
72.7675000000	n/a	72767.5	55000	55000
75.2670000000	n/a	75267	69000	69000
77.5505000000	n/a	77550.5	7600	7600
80.0335000000	n/a	80033.5	8300	8300
82.5505000000	n/a	82550.5	92	92
84.7510000000	n/a	84751	79997	79997
87.5850000000	n/a	87585	110	110
88.4355000000	n/a	88435.5	140	140
89.5355000000	n/a	89535.5	151	151
90.1860000000	n/a	90186	191	191
90.7190000000	n/a	90719	181	181
91.2525000000	n/a	91252.5	171	171
91.8855000000	n/a	91885.5	160	160
92.8185000000	n/a	92818.5	130	130
94.3830000000	n/a	94383	114	114
98.8995000000	n/a	98899.5	1200	1200
101.2825000000	n/a	101282.5	2300	2300
103.7490000000	n/a	103749	3500	3500
106.1160000000	n/a	106116	4900	4900
108.5325000000	n/a	108532.5	5600	5600
110.8990000000	n/a	110899	6400	6400
113.2320000000	n/a	113232	7100	7100
115.6320000000	n/a	115632	8700	8700
117.8325000000	n/a	117832.5	79997	79997
121.0340000000	n/a	121034	120	120
122.0840000000	n/a	122084	130	130
122.7520000000	n/a	122752	150	150
123.3190000000	n/a	123319	190	190
123.8505000000	n/a	123850.5	160	160
124.4675000000	n/a	124467.5	140	140
124.9835000000	n/a	124983.5	110	110
126.1675000000	n/a	126167.5	170	170
126.8150000000	n/a	126815	113	113
131.3150000000	n/a	131315	16	16
133.7980000000	n/a	133798	2500	2500
136.2815000000	n/a	136281.5	3700	3700
138.7310000000	n/a	138731	4200	4200
141.2315000000	n/a	141231.5	5300	5300
143.6980000000	n/a	143698	6100	6100
146.0975000000	n/a	146097.5	7400	7400
148.5640000000	n/a	148564	8800	8800
150.9975000000	n/a	150997.5	99	99
153.1980000000	n/a	153198	79997	79997
155.8160000000	n/a	155816	160	160
156.3325000000	n/a	156332.5	150	150
156.8660000000	n/a	156866	170	170
157.4820000000	n/a	157482	120	120
157.9990000000	n/a	157999	130	130
158.9490000000	n/a	158949	110	110
159.4655000000	n/a	159465.5	140	140
159.9825000000	n/a	159982.5	180	180
160.8995000000	n/a	160899.5	190	190
161.8135000000	n/a	161813.5	113	113
166.3130000000	n/a	166313	14	14
168.6965000000	n/a	168696.5	2800	2800
171.0130000000	n/a	171013	3300	3300
173.4300000000	n/a	173430	4500	4500
175.7795000000	n/a	175779.5	5200	5200
178.1630000000	n/a	178163	6600	6600
180.5960000000	n/a	180596	7700	7700
182.9460000000	n/a	182946	8100	8100
185.3125000000	n/a	185312.5	99	99
187.5130000000	n/a	187513	79997	79997
190.8310000000	n/a	190831	140	140
193.1145000000	n/a	193114.5	130	130
195.1645000000	n/a	195164.5	150	150
196.1310000000	n/a	196131	120	120
196.9980000000	n/a	196998	160	160
198.5145000000	n/a	198514.5	170	170
199.2805000000	n/a	199280.5	110	110
199.8145000000	n/a	199814.5	190	190
200.5115000000	n/a	200511.5	113	113
205.3115000000	n/a	205311.5	1800	1800
207.8285000000	n/a	207828.5	2700	2700
210.2450000000	n/a	210245	3900	3900
212.5450000000	n/a	212545	4400	4400
214.8945000000	n/a	214894.5	5100	5100
217.2115000000	n/a	217211.5	6600	6600
219.5775000000	n/a	219577.5	72000	72000
222.0445000000	n/a	222044.5	85	85
224.3275000000	n/a	224327.5	9300	9300
226.5280000000	n/a	226528	79997	79997
229.9470000000	n/a	229947	180	180
230.8970000000	n/a	230897	170	170
231.6965000000	n/a	231696.5	190	190
232.2795000000	n/a	232279.5	140	140
232.8125000000	n/a	232812.5	110	110
233.3295000000	n/a	233329.5	160	160
234.1295000000	n/a	234129.5	151	151
236.2960000000	n/a	236296	150	150
237.2960000000	n/a	237296	130	130
239.1270000000	n/a	239127	113	113
243.6265000000	n/a	243626.5	1700	1700
246.0265000000	n/a	246026.5	2400	2400
248.4770000000	n/a	248477	3200	3200
250.9600000000	n/a	250960	4600	4600
253.2430000000	n/a	253243	5900	5900
255.5600000000	n/a	255560	6800	6800
258.0095000000	n/a	258009.5	7300	7300
260.4935000000	n/a	260493.5	8500	8500
262.8095000000	n/a	262809.5	9100	9100
265.0100000000	n/a	265010	79997	79997
267.7805000000	n/a	267780.5	170	170
268.2945000000	n/a	268294.5	140	140
268.8780000000	n/a	268878	120	120
269.4115000000	n/a	269411.5	160	160
270.0620000000	n/a	270062	190	190
270.9950000000	n/a	270995	180	180
271.7615000000	n/a	271761.5	130	130
272.6950000000	n/a	272695	150	150
273.7110000000	n/a	273711	110	110
274.8425000000	n/a	274842.5	113	113
279.3590000000	n/a	279359	1100	1100
281.6250000000	n/a	281625	2300	2300
284.1255000000	n/a	284125.5	3900	3900
286.6250000000	n/a	286625	4700	4700
289.0415000000	n/a	289041.5	55000	55000
291.4085000000	n/a	291408.5	68000	68000
293.7250000000	n/a	293725	7400	7400
295.9915000000	n/a	295991.5	8600	8600
298.3580000000	n/a	298358	92	92
300.5585000000	n/a	300558.5	79997	79997
303.8430000000	n/a	303843	130	130
304.3940000000	n/a	304394	190	190
304.9270000000	n/a	304927	170	170
305.4435000000	n/a	305443.5	150	150
306.5100000000	n/a	306510	141	141
308.6935000000	n/a	308693.5	181	181
309.6105000000	n/a	309610.5	160	160
310.4595000000	n/a	310459.5	120	120
311.3410000000	n/a	311341	114	114
316.2900000000	n/a	316290	1700	1700
318.6900000000	n/a	318690	2500	2500
321.1575000000	n/a	321157.5	3300	3300
323.4740000000	n/a	323474	4800	4800
325.7900000000	n/a	325790	5400	5400
328.3070000000	n/a	328307	6100	6100
330.7400000000	n/a	330740	7200	7200
333.1400000000	n/a	333140	8900	8900
335.3405000000	n/a	335340.5	79997	79997
338.7255000000	n/a	338725.5	170	170
339.3085000000	n/a	339308.5	150	150
339.8415000000	n/a	339841.5	130	130
340.7925000000	n/a	340792.5	180	180
341.3250000000	n/a	341325	140	140
342.3250000000	n/a	342325	110	110
343.2080000000	n/a	343208	120	120
343.8590000000	n/a	343859	190	190
344.7225000000	n/a	344722.5	113	113
349.2395000000	n/a	349239.5	1700	1700
351.5730000000	n/a	351573	2100	2100
353.8890000000	n/a	353889	3300	3300
356.3390000000	n/a	356339	4600	4600
358.7055000000	n/a	358705.5	5900	5900
361.0725000000	n/a	361072.5	6400	6400
363.3885000000	n/a	363388.5	7200	7200
365.7885000000	n/a	365788.5	8800	8800
368.1220000000	n/a	368122	9500	9500
370.3225000000	n/a	370322.5	79997	79997
373.7240000000	n/a	373724	170	170
374.3735000000	n/a	374373.5	110	110
374.9405000000	n/a	374940.5	130	130
375.4570000000	n/a	375457	160	160
376.7575000000	n/a	376757.5	190	190
377.2905000000	n/a	377290.5	140	140
378.5575000000	n/a	378557.5	120	120
379.1175000000	n/a	379117.5	180	180
380.1570000000	n/a	380157	150	150
380.9710000000	n/a	380971	113	113
388.0880000000	n/a	388088	208	208
390.4205000000	n/a	390420.5	207	207
392.8540000000	n/a	392854	202	202
395.1040000000	n/a	395104	209	209
397.4540000000	n/a	397454	201	201
399.9205000000	n/a	399920.5	204	204
402.0370000000	n/a	402037	206	206
404.2370000000	n/a	404237	203	203
407.1550000000	n/a	407155	211	211
410.2200000000	n/a	410220	207	207
412.7035000000	n/a	412703.5	201	201
414.8030000000	n/a	414803	208	208
417.0200000000	n/a	417020	202	202
419.3865000000	n/a	419386.5	209	209
421.6030000000	n/a	421603	203	203
423.8030000000	n/a	423803	206	206
425.9195000000	n/a	425919.5	205	205
428.9875000000	n/a	428987.5	210	210
432.0525000000	n/a	432052.5	206	206
434.5025000000	n/a	434502.5	207	207
436.8860000000	n/a	436886	203	203
438.9190000000	n/a	438919	202	202
441.4190000000	n/a	441419	204	204
443.5020000000	n/a	443502	209	209
445.8685000000	n/a	445868.5	208	208
447.9690000000	n/a	447969	201	201
451.3195000000	n/a	451319.5	211	211
456.9185000000	n/a	456918.5	1900	1900
459.4350000000	n/a	459435	2600	2600
461.8350000000	n/a	461835	38000	38000
464.3010000000	n/a	464301	4300	4300
466.5675000000	n/a	466567.5	55000	55000
468.9680000000	n/a	468968	6200	6200
471.3510000000	n/a	471351	7700	7700
473.8175000000	n/a	473817.5	84000	84000
476.1175000000	n/a	476117.5	91000	91000
478.3180000000	n/a	478318	79997	79997
482.1565000000	n/a	482156.5	190	190
482.9695000000	n/a	482969.5	160	160
485.0195000000	n/a	485019.5	151	151
486.5860000000	n/a	486586	130	130
487.1875000000	n/a	487187.5	181	181
487.8855000000	n/a	487885.5	120	120
488.5695000000	n/a	488569.5	170	170
489.7355000000	n/a	489735.5	111	111
490.2690000000	n/a	490269	141	141
492.9350000000	n/a	492935	110	110
493.8165000000	n/a	493816.5	114	114
498.4665000000	n/a	498466.5	1700	1700
500.8830000000	n/a	500883	24000	24000
503.1665000000	n/a	503166.5	35	35
505.5660000000	n/a	505566	4800	4800
507.9160000000	n/a	507916	5100	5100
510.1825000000	n/a	510182.5	6600	6600
512.5660000000	n/a	512566	7300	7300
515.0825000000	n/a	515082.5	8900	8900
517.2830000000	n/a	517283	79997	79997
520.7015000000	n/a	520701.5	170	170
521.2340000000	n/a	521234	111	111
522.8845000000	n/a	522884.5	150	150
524.0350000000	n/a	524035	180	180
524.5670000000	n/a	524567	110	110
525.1845000000	n/a	525184.5	160	160
526.2015000000	n/a	526201.5	130	130
526.7345000000	n/a	526734.5	190	190
527.6655000000	n/a	527665.5	113	113
532.1650000000	n/a	532165	1500	1500
534.4650000000	n/a	534465	2800	2800
536.9480000000	n/a	536948	3900	3900
539.4310000000	n/a	539431	4600	4600
541.8815000000	n/a	541881.5	5200	5200
544.1810000000	n/a	544181	6300	6300
546.4810000000	n/a	546481	7100	7100
548.7645000000	n/a	548764.5	8700	8700
551.1310000000	n/a	551131	9400	9400
553.3315000000	n/a	553331.5	79997	79997
556.0165000000	n/a	556016.5	150	150
556.6500000000	n/a	556650	180	180
557.7165000000	n/a	557716.5	190	190
558.6005000000	n/a	558600.5	160	160
559.1325000000	n/a	559132.5	120	120
559.9995000000	n/a	559999.5	130	130
560.6490000000	n/a	560649	110	110
561.1830000000	n/a	561183	170	170
561.9330000000	n/a	561933	140	140
562.7635000000	n/a	562763.5	113	113
567.2640000000	n/a	567264	1700	1700
569.6805000000	n/a	569680.5	2300	2300
572.1135000000	n/a	572113.5	3400	3400
574.4800000000	n/a	574480	4500	4500
576.8960000000	n/a	576896	5200	5200
579.1630000000	n/a	579163	6800	6800
581.4795000000	n/a	581479.5	7900	7900
583.8300000000	n/a	583830	8100	8100
586.3295000000	n/a	586329.5	96	96
588.5300000000	n/a	588530	79997	79997
591.5320000000	n/a	591532	170	170
592.1815000000	n/a	592181.5	130	130
592.8815000000	n/a	592881.5	140	140
593.4985000000	n/a	593498.5	150	150
594.7150000000	n/a	594715	180	180
595.4485000000	n/a	595448.5	190	190
596.0145000000	n/a	596014.5	110	110
596.5485000000	n/a	596548.5	160	160
597.6460000000	n/a	597646	113	113
602.3790000000	n/a	602379	1800	1800
604.8455000000	n/a	604845.5	2500	2500
607.2790000000	n/a	607279	3100	3100
609.6285000000	n/a	609628.5	4700	4700
611.9450000000	n/a	611945	5300	5300
614.3950000000	n/a	614395	6600	6600
616.8615000000	n/a	616861.5	79000	79000
619.3280000000	n/a	619328	82	82
621.6615000000	n/a	621661.5	94	94
623.8620000000	n/a	623862	79997	79997
626.8320000000	n/a	626832	180	180
627.6300000000	n/a	627630	150	150
628.1965000000	n/a	628196.5	110	110
