onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	206	206
4.1495000000	n/a	4149.5	204	204
6.6160000000	n/a	6616	208	208
8.9655000000	n/a	8965.5	207	207
11.1990000000	n/a	11199	201	201
13.3150000000	n/a	13315	205	205
15.7325000000	n/a	15732.5	203	203
17.7990000000	n/a	17799	202	202
21.9675000000	n/a	21967.5	211	211
25.0485000000	n/a	25048.5	203	203
27.1650000000	n/a	27165	206	206
29.4815000000	n/a	29481.5	204	204
31.6480000000	n/a	31648	209	209
33.9810000000	n/a	33981	208	208
36.1645000000	n/a	36164.5	202	202
38.5810000000	n/a	38581	207	207
40.6650000000	n/a	40665	205	205
44.5645000000	n/a	44564.5	210	210
47.6475000000	n/a	47647.5	201	201
49.9140000000	n/a	49914	205	205
51.9475000000	n/a	51947.5	203	203
54.1305000000	n/a	54130.5	202	202
56.3305000000	n/a	56330.5	207	207
58.3800000000	n/a	58380	206	206
60.7800000000	n/a	60780	209	209
63.1970000000	n/a	63197	208	208
66.6475000000	n/a	66647.5	210	210
90.0625000000	n/a	90062.5	1400	1400
92.4460000000	n/a	92446	2200	2200
94.7620000000	n/a	94762	3100	3100
97.2290000000	n/a	97229	4800	4800
99.5210567138	n/a	99521.0567	79997	79997
102.2960000000	n/a	102296	140	140
103.2465000000	n/a	103246.5	120	120
103.9455000000	n/a	103945.5	110	110
104.7795000000	n/a	104779.5	180	180
106.0950000000	n/a	106095	113	113
110.6115000000	n/a	110611.5	1100	1100
112.9615000000	n/a	112961.5	2300	2300
115.4280000000	n/a	115428	3800	3800
117.8280000000	n/a	117828	4700	4700
120.2105000000	n/a	120210.5	5900	5900
122.5446454450	n/a	122544.6454	79997	79997
125.8280000000	n/a	125828	110	110
126.6950000000	n/a	126695	130	130
127.3955000000	n/a	127395.5	180	180
128.1285000000	n/a	128128.5	170	170
128.7625000000	n/a	128762.5	190	190
129.8935000000	n/a	129893.5	113	113
134.6110000000	n/a	134611	1500	1500
136.9270000000	n/a	136927	2900	2900
139.2605000000	n/a	139260.5	33000	33000
141.5605000000	n/a	141560.5	44000	44000
143.8430000000	n/a	143843	56	56
146.3600000000	n/a	146360	68	68
148.7752106599	n/a	148775.2107	79997	79997
151.3115000000	n/a	151311.5	150	150
151.9610000000	n/a	151961	190	190
153.7270000000	n/a	153727	141	141
154.3940000000	n/a	154394	161	161
155.9930000000	n/a	155993	115	115
160.4930000000	n/a	160493	1900	1900
162.7930000000	n/a	162793	2200	2200
165.2095000000	n/a	165209.5	3300	3300
167.6090000000	n/a	167609	4600	4600
169.9260000000	n/a	169926	5700	5700
172.1294749984	n/a	172129.475	79997	79997
174.8600000000	n/a	174860	190	190
175.5930000000	n/a	175593	120	120
176.1095000000	n/a	176109.5	130	130
177.2435000000	n/a	177243.5	160	160
177.9265000000	n/a	177926.5	170	170
178.8415000000	n/a	178841.5	113	113
183.5255000000	n/a	183525.5	1400	1400
185.8755000000	n/a	185875.5	2600	2600
188.2915000000	n/a	188291.5	3200	3200
190.6090000000	n/a	190609	4500	4500
192.9580000000	n/a	192958	5100	5100
195.3080000000	n/a	195308	6900	6900
197.6787221832	n/a	197678.7222	79997	79997
200.4090000000	n/a	200409	140	140
200.9925000000	n/a	200992.5	160	160
201.5920000000	n/a	201592	120	120
202.7260000000	n/a	202726	150	150
203.2750000000	n/a	203275	110	110
203.9760000000	n/a	203976	190	190
204.7910000000	n/a	204791	113	113
209.7580000000	n/a	209758	1800	1800
212.2570000000	n/a	212257	2600	2600
214.7740000000	n/a	214774	3100	3100
217.1570000000	n/a	217157	4700	4700
219.5240000000	n/a	219524	54000	54000
221.9570000000	n/a	221957	62000	62000
224.3400000000	n/a	224340	75000	75000
226.6577054870	n/a	226657.7055	79997	79997
229.2420000000	n/a	229242	180	180
229.8745000000	n/a	229874.5	160	160
230.4905000000	n/a	230490.5	110	110
231.2410000000	n/a	231241	170	170
232.7410000000	n/a	232741	151	151
233.8575000000	n/a	233857.5	141	141
234.3900000000	n/a	234390	121	121
235.2230000000	n/a	235223	114	114
239.9230000000	n/a	239923	1800	1800
242.2400000000	n/a	242240	26000	26000
244.6230000000	n/a	244623	3400	3400
246.9225000000	n/a	246922.5	43000	43000
249.2725000000	n/a	249272.5	5100	5100
251.5560000000	n/a	251556	62000	62000
253.9060000000	n/a	253906	79000	79000
256.2093512208	n/a	256209.3512	79997	79997
258.9065000000	n/a	258906.5	180	180
259.6225000000	n/a	259622.5	131	131
260.2230000000	n/a	260223	140	140
260.7895000000	n/a	260789.5	161	161
262.0560000000	n/a	262056	110	110
262.5895000000	n/a	262589.5	191	191
263.1725000000	n/a	263172.5	121	121
264.0555000000	n/a	264055.5	114	114
