onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	204	204
4.0330000000	n/a	4033	206	206
6.5165000000	n/a	6516.5	207	207
8.6495000000	n/a	8649.5	203	203
10.9995000000	n/a	10999.5	208	208
13.5160000000	n/a	13516	201	201
15.9660000000	n/a	15966	205	205
18.1825000000	n/a	18182.5	209	209
21.9195000000	n/a	21919.5	210	210
24.9985000000	n/a	24998.5	203	203
27.3155000000	n/a	27315.5	206	206
29.4320000000	n/a	29432	204	204
31.6985000000	n/a	31698.5	207	207
33.9320000000	n/a	33932	209	209
36.2815000000	n/a	36281.5	201	201
38.4980000000	n/a	38498	208	208
40.9145000000	n/a	40914.5	205	205
44.6500000000	n/a	44650	210	210
47.7480000000	n/a	47748	203	203
49.8145000000	n/a	49814.5	208	208
52.2480000000	n/a	52248	209	209
54.3475000000	n/a	54347.5	201	201
56.8145000000	n/a	56814.5	202	202
59.1975000000	n/a	59197.5	204	204
61.3310000000	n/a	61331	206	206
63.4630000000	n/a	63463	207	207
67.1155000000	n/a	67115.5	211	211
95.5790000000	n/a	95579	1500	1500
97.9290000000	n/a	97929	2800	2800
100.2125000000	n/a	100212.5	3100	3100
102.6785000000	n/a	102678.5	4300	4300
105.0379419560	n/a	105037.942	79997	79997
109.0825000000	n/a	109082.5	150	150
109.9150000000	n/a	109915	180	180
110.9570000000	n/a	110957	110	110
112.0145000000	n/a	112014.5	130	130
113.6780000000	n/a	113678	113	113
118.1780000000	n/a	118178	1400	1400
120.4950000000	n/a	120495	2200	2200
122.9445000000	n/a	122944.5	3800	3800
125.4115000000	n/a	125411.5	4300	4300
127.7280000000	n/a	127728	5600	5600
130.1307545780	n/a	130130.7546	79997	79997
133.6640000000	n/a	133664	140	140
134.4965000000	n/a	134496.5	120	120
135.3975000000	n/a	135397.5	180	180
136.4145000000	n/a	136414.5	130	130
137.1815000000	n/a	137181.5	160	160
139.5275000000	n/a	139527.5	113	113
144.0440000000	n/a	144044	1800	1800
146.4270000000	n/a	146427	2400	2400
148.8605000000	n/a	148860.5	3900	3900
151.1940000000	n/a	151194	4300	4300
153.6270000000	n/a	153627	5700	5700
156.0270000000	n/a	156027	6600	6600
158.2066095661	n/a	158206.6096	79997	79997
161.1795000000	n/a	161179.5	180	180
163.0295000000	n/a	163029.5	140	140
164.0630000000	n/a	164063	190	190
165.2455000000	n/a	165245.5	130	130
166.3790000000	n/a	166379	170	170
168.0620000000	n/a	168062	160	160
169.8095000000	n/a	169809.5	113	113
174.7760000000	n/a	174776	1700	1700
177.1430000000	n/a	177143	2500	2500
179.4755000000	n/a	179475.5	3300	3300
181.7425000000	n/a	181742.5	42000	42000
184.1755000000	n/a	184175.5	59000	59000
186.5090000000	n/a	186509	6600	6600
188.7755000000	n/a	188775.5	780000	780000
190.9955822380	n/a	190995.5822	79997	79997
194.1455000000	n/a	194145.5	170	170
195.0445000000	n/a	195044.5	150	150
196.5285000000	n/a	196528.5	130	130
198.5455000000	n/a	198545.5	191	191
199.5605000000	n/a	199560.5	121	121
203.4440000000	n/a	203444	160	160
204.6100000000	n/a	204610	112	112
206.9915000000	n/a	206991.5	115	115
211.6580000000	n/a	211658	1100	1100
214.0240000000	n/a	214024	2500	2500
216.2910000000	n/a	216291	32000	32000
218.7075000000	n/a	218707.5	44000	44000
221.2240000000	n/a	221224	5900	5900
223.5740000000	n/a	223574	6800	6800
225.8596879400	n/a	225859.6879	79997	79997
229.0100000000	n/a	229010	110	110
229.7765000000	n/a	229776.5	150	150
230.4430000000	n/a	230443	141	141
231.2760000000	n/a	231276	121	121
234.8445000000	n/a	234844.5	190	190
235.9630000000	n/a	235963	180	180
237.5400000000	n/a	237540	114	114
242.5235000000	n/a	242523.5	1200	1200
244.9565000000	n/a	244956.5	2400	2400
247.4730000000	n/a	247473	3500	3500
249.9060000000	n/a	249906	4700	4700
252.3060000000	n/a	252306	560000	560000
254.5895000000	n/a	254589.5	69000	69000
256.8851946310	n/a	256885.1946	79997	79997
260.1760000000	n/a	260176	120	120
260.8585000000	n/a	260858.5	140	140
261.7250000000	n/a	261725	150	150
262.5085000000	n/a	262508.5	170	170
263.2090000000	n/a	263209	182	182
264.2085000000	n/a	264208.5	161	161
266.2420000000	n/a	266242	191	191
267.4720000000	n/a	267472	115	115
272.3390000000	n/a	272339	1200	1200
274.7385000000	n/a	274738.5	2900	2900
277.1055000000	n/a	277105.5	3100	3100
279.3885000000	n/a	279388.5	4800	4800
281.8880000000	n/a	281888	5700	5700
284.1548756740	n/a	284154.8757	79997	79997
287.1905000000	n/a	287190.5	120	120
288.1745000000	n/a	288174.5	190	190
288.9400000000	n/a	288940	110	110
290.0575000000	n/a	290057.5	180	180
290.9075000000	n/a	290907.5	170	170
292.1715000000	n/a	292171.5	113	113
297.0375000000	n/a	297037.5	1600	1600
299.5375000000	n/a	299537.5	2900	2900
301.9040000000	n/a	301904	3800	3800
304.2710000000	n/a	304271	4700	4700
306.6375000000	n/a	306637.5	5400	5400
