onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	206	206
4.4660000000	n/a	4466	209	209
6.6825000000	n/a	6682.5	207	207
9.0820000000	n/a	9082	201	201
11.2820000000	n/a	11282	203	203
13.7650000000	n/a	13765	204	204
16.0155000000	n/a	16015.5	205	205
18.2320000000	n/a	18232	202	202
24.4835000000	n/a	24483.5	211	211
27.5645000000	n/a	27564.5	208	208
29.7480000000	n/a	29748	209	209
32.0815000000	n/a	32081.5	203	203
34.4150000000	n/a	34415	201	201
36.8810000000	n/a	36881	205	205
39.2475000000	n/a	39247.5	207	207
41.5805000000	n/a	41580.5	204	204
43.6640000000	n/a	43664	202	202
49.6820000000	n/a	49682	210	210
52.7470000000	n/a	52747	204	204
55.0135000000	n/a	55013.5	206	206
57.2970000000	n/a	57297	208	208
59.4135000000	n/a	59413.5	207	207
61.5300000000	n/a	61530	203	203
63.8965000000	n/a	63896.5	202	202
66.1130000000	n/a	66113	205	205
68.2465000000	n/a	68246.5	201	201
72.5145000000	n/a	72514.5	210	210
132.5940000000	n/a	132594	1800	1800
135.1270000000	n/a	135127	2700	2700
137.5770000000	n/a	137577	320000	320000
139.8935000000	n/a	139893.5	41000	41000
142.1911747760	n/a	142191.1748	79997	79997
151.7805000000	n/a	151780.5	180	180
152.9455000000	n/a	152945.5	170	170
153.9120000000	n/a	153912	142	142
154.8785000000	n/a	154878.5	121	121
156.3945000000	n/a	156394.5	111	111
160.4595000000	n/a	160459.5	115	115
164.9590000000	n/a	164959	1500	1500
167.3590000000	n/a	167359	2200	2200
169.6425000000	n/a	169642.5	3700	3700
171.9297639570	n/a	171929.764	79997	79997
175.4780000000	n/a	175478	150	150
176.6440000000	n/a	176644	120	120
177.7780000000	n/a	177778	170	170
179.6755000000	n/a	179675.5	113	113
184.1920000000	n/a	184192	1400	1400
186.5750000000	n/a	186575	2300	2300
189.0750000000	n/a	189075	3900	3900
191.4080000000	n/a	191408	4100	4100
193.7590920290	n/a	193759.092	79997	79997
196.8935000000	n/a	196893.5	140	140
198.1265000000	n/a	198126.5	130	130
199.1105000000	n/a	199110.5	190	190
200.0595000000	n/a	200059.5	110	110
201.8905000000	n/a	201890.5	113	113
206.4075000000	n/a	206407.5	1800	1800
208.8240000000	n/a	208824	210000	210000
211.2075000000	n/a	211207.5	37000	37000
213.4740000000	n/a	213474	46000	46000
215.8070000000	n/a	215807	54000	54000
218.0554096130	n/a	218055.4096	79997	79997
222.6265000000	n/a	222626.5	180	180
225.0255000000	n/a	225025.5	152	152
225.9420000000	n/a	225942	111	111
226.9095000000	n/a	226909.5	171	171
227.8260000000	n/a	227826	161	161
229.5400000000	n/a	229540	115	115
234.1560000000	n/a	234156	1600	1600
236.6395000000	n/a	236639.5	2100	2100
238.9725000000	n/a	238972.5	3200	3200
241.4060000000	n/a	241406	4400	4400
243.7533473010	n/a	243753.3473	79997	79997
246.7915000000	n/a	246791.5	160	160
247.5575000000	n/a	247557.5	110	110
248.1415000000	n/a	248141.5	120	120
249.0415000000	n/a	249041.5	140	140
250.5390000000	n/a	250539	113	113
255.4055000000	n/a	255405.5	1500	1500
257.7885000000	n/a	257788.5	2300	2300
260.1050000000	n/a	260105	3200	3200
262.5385000000	n/a	262538.5	4400	4400
265.0050000000	n/a	265005	5800	5800
267.4283963490	n/a	267428.3963	79997	79997
271.3070000000	n/a	271307	150	150
271.9070000000	n/a	271907	130	130
272.6070000000	n/a	272607	120	120
273.1905000000	n/a	273190.5	140	140
274.0240000000	n/a	274024	180	180
275.7875000000	n/a	275787.5	113	113
280.2880000000	n/a	280288	19000	19000
282.6545000000	n/a	282654.5	28000	28000
284.9540000000	n/a	284954	34000	34000
287.3040000000	n/a	287304	41000	41000
289.6040000000	n/a	289604	520000	520000
292.0540000000	n/a	292054	6600	6600
294.4261922260	n/a	294426.1922	79997	79997
298.3070000000	n/a	298307	181	181
299.5560000000	n/a	299556	141	141
302.2385000000	n/a	302238.5	111	111
302.8225000000	n/a	302822.5	121	121
303.4555000000	n/a	303455.5	132	132
303.9725000000	n/a	303972.5	160	160
307.0870000000	n/a	307087	115	115
311.6030000000	n/a	311603	1800	1800
313.9695000000	n/a	313969.5	2500	2500
316.2695000000	n/a	316269.5	3300	3300
318.6690000000	n/a	318669	4400	4400
320.9525000000	n/a	320952.5	5100	5100
323.3757574113	n/a	323375.7574	79997	79997
326.3235000000	n/a	326323.5	180	180
326.8380000000	n/a	326838	150	150
327.4215000000	n/a	327421.5	130	130
328.0550000000	n/a	328055	140	140
328.5705000000	n/a	328570.5	110	110
330.0690000000	n/a	330069	113	113
334.6690000000	n/a	334669	18000	18000
336.9355000000	n/a	336935.5	25000	25000
339.2355000000	n/a	339235.5	37	37
341.7515000000	n/a	341751.5	4200	4200
344.1350000000	n/a	344135	51000	51000
346.5015000000	n/a	346501.5	6400	6400
348.9185063700	n/a	348918.5064	79997	79997
361.8200000000	n/a	361820	141	141
362.3530000000	n/a	362353	121	121
367.7530000000	n/a	367753	150	150
369.1360000000	n/a	369136	141	141
369.7030000000	n/a	369703	120	120
370.2860000000	n/a	370286	110	110
371.0865000000	n/a	371086.5	171	171
372.1505000000	n/a	372150.5	114	114
377.1340000000	n/a	377134	11000	11000
379.5835000000	n/a	379583.5	29000	29000
381.8665000000	n/a	381866.5	38000	38000
384.2335000000	n/a	384233.5	430000	430000
386.7165000000	n/a	386716.5	54000	54000
389.1835000000	n/a	389183.5	66000	66000
391.4363032700	n/a	391436.3033	79997	79997
405.6700000000	n/a	405670	181	181
406.2015000000	n/a	406201.5	161	161
407.8175000000	n/a	407817.5	111	111
409.7680000000	n/a	409768	122	122
410.2845000000	n/a	410284.5	131	131
411.0680000000	n/a	411068	141	141
412.4325000000	n/a	412432.5	115	115
439.7815000000	n/a	439781.5	206	206
442.0475000000	n/a	442047.5	209	209
444.3310000000	n/a	444331	208	208
446.5810000000	n/a	446581	204	204
448.9805000000	n/a	448980.5	205	205
451.4475000000	n/a	451447.5	203	203
453.8470000000	n/a	453847	207	207
456.1635000000	n/a	456163.5	201	201
460.4985000000	n/a	460498.5	210	210
463.5635000000	n/a	463563.5	203	203
466.0135000000	n/a	466013.5	208	208
468.1970000000	n/a	468197	202	202
470.4465000000	n/a	470446.5	204	204
472.4965000000	n/a	472496.5	201	201
474.5295000000	n/a	474529.5	207	207
476.5630000000	n/a	476563	206	206
481.4815000000	n/a	481481.5	210	210
484.8960000000	n/a	484896	207	207
487.1460000000	n/a	487146	204	204
489.3125000000	n/a	489312.5	203	203
491.6460000000	n/a	491646	202	202
493.6625000000	n/a	493662.5	201	201
496.1620000000	n/a	496162	209	209
498.2120000000	n/a	498212	206	206
504.0635000000	n/a	504063.5	210	210
533.6440000000	n/a	533644	13000	13000
535.9770000000	n/a	535977	26000	26000
538.3105000000	n/a	538310.5	340000	340000
540.8270000000	n/a	540827	47000	47000
543.2270000000	n/a	543227	5800	5800
545.5037700300	n/a	545503.77	79997	79997
561.9955000000	n/a	561995.5	161	161
563.1450000000	n/a	563145	131	131
563.7615000000	n/a	563761.5	122	122
565.7950000000	n/a	565795	141	141
566.3125000000	n/a	566312.5	180	180
567.5760000000	n/a	567576	115	115
572.0920000000	n/a	572092	1400	1400
574.3755000000	n/a	574375.5	2800	2800
576.7755000000	n/a	576775.5	3600	3600
579.1255000000	n/a	579125.5	4100	4100
581.5704974560	n/a	581570.4975	79997	79997
584.6775000000	n/a	584677.5	140	140
585.4445000000	n/a	585444.5	180	180
586.1110000000	n/a	586111	160	160
586.8775000000	n/a	586877.5	110	110
588.5585000000	n/a	588558.5	113	113
593.1750000000	n/a	593175	1900	1900
595.5745000000	n/a	595574.5	2100	2100
597.9080000000	n/a	597908	3200	3200
600.4410000000	n/a	600441	4600	4600
602.7410000000	n/a	602741	5800	5800
604.9952238370	n/a	604995.2238	79997	79997
608.6775000000	n/a	608677.5	190	190
609.9425000000	n/a	609942.5	110	110
610.5930000000	n/a	610593	120	120
611.1930000000	n/a	611193	160	160
612.1770000000	n/a	612177	180	180
613.8905000000	n/a	613890.5	113	113
618.4065000000	n/a	618406.5	13000	13000
620.8570000000	n/a	620857	29000	29000
623.3240000000	n/a	623324	35000	35000
625.6735000000	n/a	625673.5	42000	42000
627.9735000000	n/a	627973.5	570000	570000
630.3235000000	n/a	630323.5	6600	6600
632.7060917430	n/a	632706.0917	79997	79997
635.5755000000	n/a	635575.5	191	191
636.8090000000	n/a	636809	151	151
639.9420000000	n/a	639942	121	121
640.5915000000	n/a	640591.5	131	131
641.2085000000	n/a	641208.5	142	142
641.7255000000	n/a	641725.5	160	160
643.1230000000	n/a	643123	115	115
648.0220000000	n/a	648022	170000	170000
650.3225000000	n/a	650322.5	2300	2300
652.6390000000	n/a	652639	3200	3200
654.9725000000	n/a	654972.5	4100	4100
657.2890000000	n/a	657289	5600	5600
659.5209632120	n/a	659520.9632	79997	79997
665.0920000000	n/a	665092	182	182
665.6910000000	n/a	665691	130	130
666.2070000000	n/a	666207	120	120
666.7235000000	n/a	666723.5	110	110
667.3240000000	n/a	667324	160	160
668.5550000000	n/a	668555	115	115
673.0545000000	n/a	673054.5	1800	1800
675.5045000000	n/a	675504.5	27000	27000
677.8215000000	n/a	677821.5	39000	39000
680.2375000000	n/a	680237.5	4300	4300
682.5885024860	n/a	682588.5025	79997	79997
686.0420000000	n/a	686042	180	180
687.7240000000	n/a	687724	191	191
688.4070000000	n/a	688407	171	171
689.1900000000	n/a	689190	130	130
690.9375000000	n/a	690937.5	114	114
695.9035000000	n/a	695903.5	1100	1100
698.2035000000	n/a	698203.5	2800	2800
700.6035000000	n/a	700603.5	3500	3500
703.0035000000	n/a	703003.5	44	44
705.4377683849	n/a	705437.7684	79997	79997
708.3555000000	n/a	708355.5	110	110
709.0565000000	n/a	709056.5	180	180
709.5890000000	n/a	709589	150	150
711.0365000000	n/a	711036.5	115	115
715.5865000000	n/a	715586.5	1100	1100
717.9365000000	n/a	717936.5	2400	2400
720.4030000000	n/a	720403	3800	3800
722.7856157691	n/a	722785.6158	79997	79997
725.6710000000	n/a	725671	110	110
726.1880000000	n/a	726188	140	140
726.7050000000	n/a	726705	180	180
727.5860000000	n/a	727586	113	113
732.4855000000	n/a	732485.5	1300	1300
734.9525000000	n/a	734952.5	2600	2600
737.3520000000	n/a	737352	3500	3500
739.7850000000	n/a	739785	4100	4100
742.1237379364	n/a	742123.7379	79997	79997
744.9210000000	n/a	744921	130	130
746.2545000000	n/a	746254.5	160	160
746.8540000000	n/a	746854	150	150
747.5540000000	n/a	747554	110	110
748.6520000000	n/a	748652	113	113
753.1515000000	n/a	753151.5	1100	1100
755.6520000000	n/a	755652	2400	2400
758.0845000000	n/a	758084.5	3500	3500
760.4345000000	n/a	760434.5	4200	4200
762.9510000000	n/a	762951	5800	5800
765.2812123946	n/a	765281.2124	79997	79997
768.0880000000	n/a	768088	110	110
768.6365000000	n/a	768636.5	140	140
769.1700000000	n/a	769170	150	150
769.6860000000	n/a	769686	120	120
770.4870000000	n/a	770487	180	180
771.4505000000	n/a	771450.5	113	113
791.2500000000	n/a	791250	202	202
793.2835000000	n/a	793283.5	208	208
795.7000000000	n/a	795700	209	209
797.9995000000	n/a	797999.5	201	201
799.9995000000	n/a	799999.5	203	203
802.1325000000	n/a	802132.5	206	206
804.4325000000	n/a	804432.5	204	204
808.3010000000	n/a	808301	210	210
811.3825000000	n/a	811382.5	202	202
813.8820000000	n/a	813882	208	208
816.1995000000	n/a	816199.5	204	204
818.2155000000	n/a	818215.5	205	205
820.6490000000	n/a	820649	209	209
822.6985000000	n/a	822698.5	201	201
824.9820000000	n/a	824982	206	206
827.3150000000	n/a	827315	207	207
831.3995000000	n/a	831399.5	210	210
834.4985000000	n/a	834498.5	209	209
836.8645000000	n/a	836864.5	202	202
839.2650000000	n/a	839265	203	203
841.6145000000	n/a	841614.5	205	205
843.6980000000	n/a	843698	204	204
845.7310000000	n/a	845731	201	201
847.8645000000	n/a	847864.5	206	206
849.9645000000	n/a	849964.5	208	208
853.7330000000	n/a	853733	210	210
873.6800000000	n/a	873680	1800	1800
876.0630000000	n/a	876063	2200	2200
878.4800000000	n/a	878480	3500	3500
880.9630000000	n/a	880963	4700	4700
883.3625000000	n/a	883362.5	5100	5100
885.7130000000	n/a	885713	6400	6400
887.9443598427	n/a	887944.3598	79997	79997
890.7320000000	n/a	890732	180	180
891.4650000000	n/a	891465	120	120
891.9980000000	n/a	891998	150	150
892.7485000000	n/a	892748.5	170	170
893.3145000000	n/a	893314.5	110	110
893.8315000000	n/a	893831.5	140	140
894.9960000000	n/a	894996	113	113
899.4955000000	n/a	899495.5	14000	14000
901.8455000000	n/a	901845.5	27000	27000
904.1955000000	n/a	904195.5	38000	38000
906.5285000000	n/a	906528.5	42000	42000
908.8950000000	n/a	908895	53000	53000
911.1950000000	n/a	911195	65000	65000
913.5950000000	n/a	913595	7900	7900
915.9058364070	n/a	915905.8364	79997	79997
920.8140000000	n/a	920814	181	181
921.4640000000	n/a	921464	141	141
922.6965000000	n/a	922696.5	121	121
923.7800000000	n/a	923780	131	131
924.7975000000	n/a	924797.5	151	151
925.3300000000	n/a	925330	171	171
925.8475000000	n/a	925847.5	190	190
927.1610000000	n/a	927161	114	114
931.9605000000	n/a	931960.5	1600	1600
934.2440000000	n/a	934244	2400	2400
936.5940000000	n/a	936594	31000	31000
938.9770000000	n/a	938977	47000	47000
941.4270000000	n/a	941427	590000	590000
943.8105000000	n/a	943810.5	6200	6200
946.1940000000	n/a	946194	75000	75000
948.4510126280	n/a	948451.0126	79997	79997
951.3795000000	n/a	951379.5	160	160
952.2460000000	n/a	952246	140	140
952.8960000000	n/a	952896	171	171
955.2620000000	n/a	955262	111	111
957.4625000000	n/a	957462.5	182	182
960.7620000000	n/a	960762	120	120
961.2955000000	n/a	961295.5	191	191
962.5095000000	n/a	962509.5	115	115
967.3595000000	n/a	967359.5	1200	1200
969.6260000000	n/a	969626	2400	2400
971.8925000000	n/a	971892.5	3700	3700
974.3590000000	n/a	974359	4800	4800
976.8595000000	n/a	976859.5	5600	5600
979.3425000000	n/a	979342.5	6500	6500
