onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	206	206
4.2825000000	n/a	4282.5	204	204
6.7325000000	n/a	6732.5	208	208
8.8325000000	n/a	8832.5	209	209
10.9660000000	n/a	10966	207	207
13.0660000000	n/a	13066	202	202
15.1325000000	n/a	15132.5	201	201
17.5490000000	n/a	17549	205	205
26.2835000000	n/a	26283.5	211	211
29.3650000000	n/a	29365	205	205
31.6320000000	n/a	31632	201	201
33.8150000000	n/a	33815	208	208
36.1150000000	n/a	36115	204	204
38.3815000000	n/a	38381.5	202	202
40.6480000000	n/a	40648	207	207
42.7975000000	n/a	42797.5	209	209
45.1810000000	n/a	45181	206	206
51.2320000000	n/a	51232	210	210
54.3140000000	n/a	54314	207	207
56.3805000000	n/a	56380.5	209	209
58.4300000000	n/a	58430	205	205
60.8640000000	n/a	60864	204	204
63.0470000000	n/a	63047	201	201
65.4805000000	n/a	65480.5	208	208
67.9800000000	n/a	67980	206	206
70.2130000000	n/a	70213	202	202
75.2485000000	n/a	75248.5	210	210
104.2120000000	n/a	104212	1400	1400
106.7285000000	n/a	106728.5	2800	2800
109.0285000000	n/a	109028.5	3200	3200
111.4115000000	n/a	111411.5	4600	4600
113.7487090000	n/a	113748.709	79997	79997
117.4305000000	n/a	117430.5	140	140
118.4645000000	n/a	118464.5	180	180
119.2140000000	n/a	119214	120	120
120.1165000000	n/a	120116.5	160	160
123.0780000000	n/a	123078	113	113
127.5780000000	n/a	127578	1800	1800
129.9270000000	n/a	129927	2100	2100
132.3445000000	n/a	132344.5	3200	3200
134.8105000000	n/a	134810.5	4600	4600
137.2940000000	n/a	137294	5700	5700
139.5787729860	n/a	139578.773	79997	79997
142.8305000000	n/a	142830.5	180	180
144.0795000000	n/a	144079.5	110	110
144.9815000000	n/a	144981.5	120	120
145.9795000000	n/a	145979.5	160	160
147.3300000000	n/a	147330	170	170
149.0435000000	n/a	149043.5	113	113
153.5765000000	n/a	153576.5	1800	1800
155.9930000000	n/a	155993	2100	2100
158.2600000000	n/a	158260	3900	3900
160.6095000000	n/a	160609.5	45000	45000
163.0430000000	n/a	163043	56000	56000
165.4430000000	n/a	165443	640000	640000
167.6904049350	n/a	167690.4049	79997	79997
170.8805000000	n/a	170880.5	180	180
172.2615000000	n/a	172261.5	110	110
173.2645000000	n/a	173264.5	190	190
175.1620000000	n/a	175162	161	161
176.9450000000	n/a	176945	141	141
177.4955000000	n/a	177495.5	172	172
