onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	207	207
4.3830000000	n/a	4383	209	209
6.4160000000	n/a	6416	204	204
8.5160000000	n/a	8516	201	201
10.7825000000	n/a	10782.5	208	208
13.1160000000	n/a	13116	205	205
15.5155000000	n/a	15515.5	206	206
17.8655000000	n/a	17865.5	202	202
21.8515000000	n/a	21851.5	210	210
25.4155000000	n/a	25415.5	209	209
27.5985000000	n/a	27598.5	204	204
29.9320000000	n/a	29932	205	205
32.2315000000	n/a	32231.5	203	203
34.6650000000	n/a	34665	201	201
36.7815000000	n/a	36781.5	207	207
39.1645000000	n/a	39164.5	206	206
41.3815000000	n/a	41381.5	202	202
44.4665000000	n/a	44466.5	210	210
47.5470000000	n/a	47547	209	209
49.9140000000	n/a	49914	207	207
52.2305000000	n/a	52230.5	208	208
54.6805000000	n/a	54680.5	205	205
56.9475000000	n/a	56947.5	201	201
59.1305000000	n/a	59130.5	203	203
61.6140000000	n/a	61614	202	202
63.8800000000	n/a	63880	204	204
67.1490000000	n/a	67149	210	210
102.3620000000	n/a	102362	1500	1500
104.7785000000	n/a	104778.5	2300	2300
107.0785000000	n/a	107078.5	3900	3900
109.4120000000	n/a	109412	4700	4700
111.7627966467	n/a	111762.7966	79997	79997
114.6155000000	n/a	114615.5	150	150
115.5480000000	n/a	115548	130	130
116.3010000000	n/a	116301	190	190
117.0980000000	n/a	117098	170	170
118.2615000000	n/a	118261.5	113	113
122.7945000000	n/a	122794.5	1300	1300
125.1280000000	n/a	125128	2400	2400
127.4445000000	n/a	127444.5	3600	3600
129.7610000000	n/a	129761	4100	4100
132.2110000000	n/a	132211	5700	5700
134.5948847710	n/a	134594.8848	79997	79997
138.3305000000	n/a	138330.5	130	130
139.1970000000	n/a	139197	140	140
139.7640000000	n/a	139764	160	160
140.6965000000	n/a	140696.5	110	110
141.5145000000	n/a	141514.5	170	170
142.8770000000	n/a	142877	113	113
147.4600000000	n/a	147460	13000	13000
149.7935000000	n/a	149793.5	2400	2400
152.1265000000	n/a	152126.5	35000	35000
154.5765000000	n/a	154576.5	47000	47000
156.9430000000	n/a	156943	52000	52000
159.4430000000	n/a	159443	61000	61000
161.8469440480	n/a	161846.944	79997	79997
167.7630000000	n/a	167763	151	151
168.9960000000	n/a	168996	140	140
170.2295000000	n/a	170229.5	171	171
170.9955000000	n/a	170995.5	131	131
171.5620000000	n/a	171562	111	111
172.8955000000	n/a	172895.5	121	121
174.2920000000	n/a	174292	114	114
179.0925000000	n/a	179092.5	1700	1700
181.4255000000	n/a	181425.5	2200	2200
183.9090000000	n/a	183909	3900	3900
186.2750000000	n/a	186275	4100	4100
188.7750000000	n/a	188775	56000	56000
191.0920000000	n/a	191092	64000	64000
193.2987370470	n/a	193298.737	79997	79997
198.3975000000	n/a	198397.5	170	170
199.1290000000	n/a	199129	120	120
202.2280000000	n/a	202228	190	190
204.1105000000	n/a	204110.5	110	110
204.8610000000	n/a	204861	141	141
206.0275000000	n/a	206027.5	161	161
207.3910000000	n/a	207391	114	114
212.2910000000	n/a	212291	1400	1400
214.5570000000	n/a	214557	2200	2200
216.9570000000	n/a	216957	3300	3300
219.3575000000	n/a	219357.5	4900	4900
221.7070000000	n/a	221707	5800	5800
224.1405000000	n/a	224140.5	6700	6700
226.3696837177	n/a	226369.6837	79997	79997
229.1100000000	n/a	229110	140	140
229.7760000000	n/a	229776	120	120
230.3430000000	n/a	230343	130	130
231.4770000000	n/a	231477	190	190
231.9935000000	n/a	231993.5	180	180
232.5770000000	n/a	232577	170	170
234.4230000000	n/a	234423	113	113
239.1560000000	n/a	239156	1900	1900
241.6395000000	n/a	241639.5	2100	2100
244.0060000000	n/a	244006	3400	3400
246.5060000000	n/a	246506	4700	4700
248.9060000000	n/a	248906	5800	5800
251.3895000000	n/a	251389.5	6200	6200
253.7725000000	n/a	253772.5	7500	7500
255.9775032080	n/a	255977.5032	79997	79997
259.0605000000	n/a	259060.5	190	190
259.7585000000	n/a	259758.5	110	110
260.4420000000	n/a	260442	140	140
261.4590000000	n/a	261459	170	170
262.2255000000	n/a	262225.5	180	180
262.9915000000	n/a	262991.5	120	120
263.7250000000	n/a	263725	150	150
264.7720000000	n/a	264772	113	113
269.2720000000	n/a	269272	1800	1800
271.5385000000	n/a	271538.5	2700	2700
274.0050000000	n/a	274005	3400	3400
276.4380000000	n/a	276438	4200	4200
278.9215000000	n/a	278921.5	5100	5100
281.2880000000	n/a	281288	630000	630000
283.7045000000	n/a	283704.5	79000	79000
286.2215000000	n/a	286221.5	85	85
288.5407028138	n/a	288540.7028	79997	79997
291.2585000000	n/a	291258.5	180	180
291.8575000000	n/a	291857.5	170	170
293.2740000000	n/a	293274	140	140
293.8905000000	n/a	293890.5	120	120
294.7735000000	n/a	294773.5	110	110
301.4405000000	n/a	301440.5	162	162
302.1575000000	n/a	302157.5	151	151
308.3705000000	n/a	308370.5	1600	1600
310.8035000000	n/a	310803.5	240000	240000
313.1700000000	n/a	313170	39000	39000
315.5865000000	n/a	315586.5	4300	4300
317.8865000000	n/a	317886.5	58000	58000
320.2860000000	n/a	320286	61000	61000
322.6860000000	n/a	322686	77	77
325.0843646094	n/a	325084.3646	79997	79997
327.9895000000	n/a	327989.5	160	160
328.5055000000	n/a	328505.5	152	152
329.0390000000	n/a	329039	141	141
330.4725000000	n/a	330472.5	130	130
331.6220000000	n/a	331622	111	111
332.2560000000	n/a	332256	171	171
333.3025000000	n/a	333302.5	115	115
337.8355000000	n/a	337835.5	1500	1500
340.1190000000	n/a	340119	2200	2200
342.6020000000	n/a	342602	3400	3400
344.9855000000	n/a	344985.5	4600	4600
347.2685000000	n/a	347268.5	5900	5900
349.7185000000	n/a	349718.5	6800	6800
351.9825256946	n/a	351982.5257	79997	79997
354.4715000000	n/a	354471.5	150	150
355.0045000000	n/a	355004.5	120	120
355.5385000000	n/a	355538.5	140	140
356.2215000000	n/a	356221.5	160	160
356.7385000000	n/a	356738.5	190	190
357.3755000000	n/a	357375.5	180	180
358.3850000000	n/a	358385	113	113
362.8845000000	n/a	362884.5	1100	1100
365.2845000000	n/a	365284.5	2400	2400
367.6010000000	n/a	367601	3200	3200
369.9010000000	n/a	369901	4700	4700
372.3510000000	n/a	372351	5300	5300
374.6845000000	n/a	374684.5	690000	690000
376.9675000000	n/a	376967.5	7500	7500
379.3996323160	n/a	379399.6323	79997	79997
384.6365000000	n/a	384636.5	110	110
385.2870000000	n/a	385287	140	140
385.9530000000	n/a	385953	120	120
386.8540000000	n/a	386854	170	170
387.5870000000	n/a	387587	130	130
392.6535000000	n/a	392653.5	162	162
393.8865000000	n/a	393886.5	150	150
395.2665000000	n/a	395266.5	115	115
406.1495000000	n/a	406149.5	208	208
408.5830000000	n/a	408583	209	209
410.8990000000	n/a	410899	207	207
413.2330000000	n/a	413233	204	204
415.4660000000	n/a	415466	203	203
417.6490000000	n/a	417649	201	201
420.0320000000	n/a	420032	202	202
422.0655000000	n/a	422065.5	206	206
425.4345000000	n/a	425434.5	211	211
428.5655000000	n/a	428565.5	202	202
430.8490000000	n/a	430849	206	206
433.2485000000	n/a	433248.5	209	209
435.5820000000	n/a	435582	203	203
437.7980000000	n/a	437798	201	201
440.1480000000	n/a	440148	207	207
442.3815000000	n/a	442381.5	204	204
445.4510000000	n/a	445451	210	210
448.9480000000	n/a	448948	201	201
451.1140000000	n/a	451114	207	207
453.2975000000	n/a	453297.5	202	202
455.3310000000	n/a	455331	205	205
457.5475000000	n/a	457547.5	204	204
459.8475000000	n/a	459847.5	206	206
462.2140000000	n/a	462214	209	209
464.4805000000	n/a	464480.5	208	208
467.2995000000	n/a	467299.5	210	210
475.6130000000	n/a	475613	1200	1200
478.1465000000	n/a	478146.5	2100	2100
480.5630000000	n/a	480563	3700	3700
482.9625000000	n/a	482962.5	4600	4600
485.3460000000	n/a	485346	5300	5300
487.6125000000	n/a	487612.5	6800	6800
489.9870739840	n/a	489987.074	79997	79997
493.2990000000	n/a	493299	120	120
494.2820000000	n/a	494282	110	110
496.6160000000	n/a	496616	170	170
498.2990000000	n/a	498299	160	160
498.9985000000	n/a	498998.5	130	130
499.9330000000	n/a	499933	180	180
500.8455000000	n/a	500845.5	113	113
505.3950000000	n/a	505395	1200	1200
507.7285000000	n/a	507728.5	2400	2400
510.1620000000	n/a	510162	3600	3600
512.6285000000	n/a	512628.5	4300	4300
514.9950000000	n/a	514995	5700	5700
517.3615000000	n/a	517361.5	6100	6100
519.8280000000	n/a	519828	7800	7800
522.2276930700	n/a	522227.6931	79997	79997
525.5975000000	n/a	525597.5	120	120
527.3480000000	n/a	527348	140	140
529.2145000000	n/a	529214.5	160	160
532.1310000000	n/a	532131	130	130
533.6310000000	n/a	533631	170	170
534.7135000000	n/a	534713.5	110	110
535.4810000000	n/a	535481	180	180
536.6610000000	n/a	536661	113	113
541.3770000000	n/a	541377	1100	1100
543.7105000000	n/a	543710.5	2400	2400
546.1105000000	n/a	546110.5	3500	3500
548.5270000000	n/a	548527	4900	4900
550.8105000000	n/a	550810.5	58000	58000
553.1935000000	n/a	553193.5	6300	6300
555.5765000000	n/a	555576.5	77000	77000
