onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	202	202
4.1985000000	n/a	4198.5	203	203
6.5655000000	n/a	6565.5	205	205
9.0325000000	n/a	9032.5	208	208
11.3655000000	n/a	11365.5	204	204
13.3820000000	n/a	13382	201	201
15.6320000000	n/a	15632	209	209
18.0985000000	n/a	18098.5	207	207
22.3495000000	n/a	22349.5	210	210
25.7315000000	n/a	25731.5	207	207
27.7650000000	n/a	27765	204	204
30.1980000000	n/a	30198	209	209
32.4645000000	n/a	32464.5	201	201
34.8645000000	n/a	34864.5	203	203
37.3480000000	n/a	37348	208	208
39.7810000000	n/a	39781	206	206
41.8305000000	n/a	41830.5	202	202
45.2320000000	n/a	45232	211	211
48.3305000000	n/a	48330.5	207	207
50.3805000000	n/a	50380.5	203	203
52.7635000000	n/a	52763.5	209	209
55.2140000000	n/a	55214	205	205
57.4470000000	n/a	57447	206	206
59.7305000000	n/a	59730.5	202	202
62.1465000000	n/a	62146.5	201	201
64.5635000000	n/a	64563.5	208	208
67.6805000000	n/a	67680.5	210	210
95.2455000000	n/a	95245.5	1200	1200
97.5950000000	n/a	97595	2400	2400
99.8785000000	n/a	99878.5	3500	3500
102.2450000000	n/a	102245	4600	4600
104.5946340070	n/a	104594.634	79997	79997
107.9795000000	n/a	107979.5	120	120
108.5300000000	n/a	108530	140	140
109.0630000000	n/a	109063	150	150
109.5800000000	n/a	109580	160	160
111.2280000000	n/a	111228	113	113
116.0115000000	n/a	116011.5	1700	1700
118.4615000000	n/a	118461.5	2600	2600
120.9280000000	n/a	120928	3200	3200
123.1935000000	n/a	123193.5	4900	4900
125.7110000000	n/a	125711	5100	5100
128.0147611471	n/a	128014.7611	79997	79997
130.7625000000	n/a	130762.5	170	170
131.4955000000	n/a	131495.5	160	160
132.0290000000	n/a	132029	120	120
132.6460000000	n/a	132646	190	190
133.3785000000	n/a	133378.5	110	110
134.3440000000	n/a	134344	113	113
139.1935000000	n/a	139193.5	1100	1100
141.4930000000	n/a	141493	2800	2800
143.8765000000	n/a	143876.5	3300	3300
146.3265000000	n/a	146326.5	4700	4700
148.7430000000	n/a	148743	5200	5200
151.0265000000	n/a	151026.5	6900	6900
153.2231375062	n/a	153223.1375	79997	79997
156.2095000000	n/a	156209.5	110	110
156.9785000000	n/a	156978.5	180	180
157.7110000000	n/a	157711	130	130
158.4785000000	n/a	158478.5	170	170
159.1285000000	n/a	159128.5	120	120
159.7450000000	n/a	159745	190	190
160.9425000000	n/a	160942.5	113	113
165.4590000000	n/a	165459	19000	19000
167.9755000000	n/a	167975.5	23000	23000
170.2425000000	n/a	170242.5	3400	3400
172.7255000000	n/a	172725.5	4100	4100
175.0590000000	n/a	175059	5200	5200
177.5755000000	n/a	177575.5	6700	6700
180.0250000000	n/a	180025	78	78
182.2513010386	n/a	182251.301	79997	79997
185.1270000000	n/a	185127	131	131
185.8940000000	n/a	185894	191	191
187.1760000000	n/a	187176	110	110
188.5930000000	n/a	188593	120	120
189.3435000000	n/a	189343.5	170	170
189.8770000000	n/a	189877	180	180
190.8245000000	n/a	190824.5	114	114
195.3410000000	n/a	195341	1900	1900
197.6575000000	n/a	197657.5	2200	2200
200.0240000000	n/a	200024	3600	3600
202.3410000000	n/a	202341	4100	4100
204.6910000000	n/a	204691	58000	58000
207.1400000000	n/a	207140	67000	67000
209.5405000000	n/a	209540.5	73	73
211.9552017300	n/a	211955.2017	79997	79997
214.9760000000	n/a	214976	190	190
215.6920000000	n/a	215692	120	120
216.2925000000	n/a	216292.5	160	160
216.9420000000	n/a	216942	110	110
217.4595000000	n/a	217459.5	171	171
218.0090000000	n/a	218009	131	131
219.1400000000	n/a	219140	115	115
224.0565000000	n/a	224056.5	1600	1600
226.4730000000	n/a	226473	2100	2100
228.8065000000	n/a	228806.5	3200	3200
231.1230000000	n/a	231123	4400	4400
233.6230000000	n/a	233623	5700	5700
236.0560000000	n/a	236056	6800	6800
238.4952135999	n/a	238495.2136	79997	79997
241.3415000000	n/a	241341.5	160	160
242.0075000000	n/a	242007.5	110	110
242.5245000000	n/a	242524.5	120	120
243.1410000000	n/a	243141	140	140
244.4080000000	n/a	244408	170	170
