onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	207	207
4.4165000000	n/a	4416.5	204	204
6.8835000000	n/a	6883.5	203	203
9.0170000000	n/a	9017	205	205
11.2165000000	n/a	11216.5	201	201
13.7500000000	n/a	13750	209	209
15.9335000000	n/a	15933.5	206	206
18.0830000000	n/a	18083	208	208
23.3680000000	n/a	23368	210	210
26.4495000000	n/a	26449.5	208	208
28.7485000000	n/a	28748.5	201	201
31.0655000000	n/a	31065.5	207	207
33.1820000000	n/a	33182	204	204
35.2655000000	n/a	35265.5	205	205
37.4155000000	n/a	37415.5	203	203
39.8155000000	n/a	39815.5	206	206
42.2985000000	n/a	42298.5	202	202
50.5170000000	n/a	50517	210	210
53.5980000000	n/a	53598	203	203
55.7315000000	n/a	55731.5	201	201
58.0310000000	n/a	58031	206	206
60.3810000000	n/a	60381	207	207
62.8975000000	n/a	62897.5	204	204
64.9810000000	n/a	64981	202	202
67.1140000000	n/a	67114	208	208
71.7665000000	n/a	71766.5	210	210
98.6965000000	n/a	98696.5	1600	1600
101.2130000000	n/a	101213	2500	2500
103.5625000000	n/a	103562.5	3900	3900
106.0125000000	n/a	106012.5	4800	4800
108.3428517040	n/a	108342.8517	79997	79997
112.5320000000	n/a	112532	160	160
113.7815000000	n/a	113781.5	150	150
114.7155000000	n/a	114715.5	190	190
115.3320000000	n/a	115332	180	180
116.5790000000	n/a	116579	113	113
121.0955000000	n/a	121095.5	1200	1200
123.4120000000	n/a	123412	2900	2900
125.8120000000	n/a	125812	3300	3300
128.2120000000	n/a	128212	4500	4500
130.6285000000	n/a	130628.5	5100	5100
132.8787780110	n/a	132878.778	79997	79997
136.1480000000	n/a	136148	120	120
137.2315000000	n/a	137231.5	190	190
138.0635000000	n/a	138063.5	130	130
140.0140000000	n/a	140014	150	150
140.9965000000	n/a	140996.5	110	110
143.0280000000	n/a	143028	113	113
147.7605000000	n/a	147760.5	1600	1600
150.0440000000	n/a	150044	2500	2500
152.4940000000	n/a	152494	3900	3900
154.7605000000	n/a	154760.5	4100	4100
157.1435000000	n/a	157143.5	5200	5200
159.4940000000	n/a	159494	6700	6700
161.9151288490	n/a	161915.1288	79997	79997
165.2140000000	n/a	165214	160	160
165.9625000000	n/a	165962.5	150	150
166.7300000000	n/a	166730	190	190
168.2790000000	n/a	168279	110	110
170.1285000000	n/a	170128.5	120	120
171.0455000000	n/a	171045.5	170	170
173.0595000000	n/a	173059.5	113	113
177.5765000000	n/a	177576.5	1300	1300
180.0430000000	n/a	180043	2900	2900
182.4765000000	n/a	182476.5	3500	3500
184.8095000000	n/a	184809.5	4800	4800
187.3090000000	n/a	187309	5700	5700
189.7925000000	n/a	189792.5	6100	6100
192.2095000000	n/a	192209.5	7200	7200
194.6343102080	n/a	194634.3102	79997	79997
199.2945000000	n/a	199294.5	130	130
200.3950000000	n/a	200395	190	190
201.6780000000	n/a	201678	150	150
203.3950000000	n/a	203395	180	180
207.0280000000	n/a	207028	170	170
208.4105000000	n/a	208410.5	110	110
209.1440000000	n/a	209144	120	120
210.9250000000	n/a	210925	113	113
215.9080000000	n/a	215908	1300	1300
218.3415000000	n/a	218341.5	2800	2800
220.6910000000	n/a	220691	320000	320000
223.1580000000	n/a	223158	46000	46000
225.6245000000	n/a	225624.5	5700	5700
227.9080000000	n/a	227908	64000	64000
230.3910000000	n/a	230391	79000	79000
232.7910000000	n/a	232791	81000	81000
235.0536392750	n/a	235053.6393	79997	79997
239.3430000000	n/a	239343	130	130
240.8100000000	n/a	240810	180	180
247.8760000000	n/a	247876	152	152
249.4595000000	n/a	249459.5	191	191
251.7595000000	n/a	251759.5	170	170
252.5920000000	n/a	252592	111	111
253.2085000000	n/a	253208.5	121	121
254.3590000000	n/a	254359	141	141
255.5730000000	n/a	255573	115	115
260.4395000000	n/a	260439.5	1300	1300
262.7560000000	n/a	262756	2200	2200
265.1060000000	n/a	265106	3500	3500
267.5225000000	n/a	267522.5	4600	4600
269.9560000000	n/a	269956	5700	5700
272.4555000000	n/a	272455.5	6800	6800
274.9390000000	n/a	274939	7400	7400
277.3384978850	n/a	277338.4979	79997	79997
281.1580000000	n/a	281158	130	130
281.7745000000	n/a	281774.5	120	120
282.5750000000	n/a	282575	150	150
284.0915000000	n/a	284091.5	160	160
287.8580000000	n/a	287858	170	170
290.1080000000	n/a	290108	180	180
293.2905000000	n/a	293290.5	140	140
294.6545000000	n/a	294654.5	113	113
299.1715000000	n/a	299171.5	1100	1100
301.5715000000	n/a	301571.5	2400	2400
304.0710000000	n/a	304071	3200	3200
306.3710000000	n/a	306371	46000	46000
308.6715000000	n/a	308671.5	5700	5700
310.9545000000	n/a	310954.5	6300	6300
313.2710000000	n/a	313271	79000	79000
315.7205000000	n/a	315720.5	88000	88000
318.0587536970	n/a	318058.7537	79997	79997
322.0895000000	n/a	322089.5	110	110
322.7895000000	n/a	322789.5	140	140
324.4560000000	n/a	324456	120	120
332.2895000000	n/a	332289.5	191	191
335.8225000000	n/a	335822.5	170	170
336.6060000000	n/a	336606	130	130
339.8560000000	n/a	339856	181	181
341.6555000000	n/a	341655.5	161	161
343.0195000000	n/a	343019.5	114	114
347.8355000000	n/a	347835.5	1300	1300
350.1030000000	n/a	350103	2700	2700
352.5525000000	n/a	352552.5	3400	3400
355.0855000000	n/a	355085.5	4100	4100
357.4690000000	n/a	357469	58000	58000
359.8190000000	n/a	359819	69000	69000
362.3190000000	n/a	362319	72000	72000
364.6350000000	n/a	364635	8600	8600
366.9331817330	n/a	366933.1817	79997	79997
370.0210000000	n/a	370021	130	130
371.2710000000	n/a	371271	170	170
372.1040000000	n/a	372104	140	140
372.8040000000	n/a	372804	110	110
377.0050000000	n/a	377005	121	121
385.9375000000	n/a	385937.5	181	181
388.0240000000	n/a	388024	191	191
388.6705000000	n/a	388670.5	160	160
390.3010000000	n/a	390301	114	114
394.8175000000	n/a	394817.5	1100	1100
397.3010000000	n/a	397301	2400	2400
399.8005000000	n/a	399800.5	3700	3700
402.2675000000	n/a	402267.5	4200	4200
404.7505000000	n/a	404750.5	5500	5500
407.2000000000	n/a	407200	6300	6300
409.4670000000	n/a	409467	7600	7600
411.8335000000	n/a	411833.5	8900	8900
414.2042903780	n/a	414204.2904	79997	79997
417.3355000000	n/a	417335.5	110	110
417.8855000000	n/a	417885.5	140	140
418.8860000000	n/a	418886	170	170
419.8185000000	n/a	419818.5	120	120
420.3690000000	n/a	420369	150	150
420.9690000000	n/a	420969	130	130
421.5020000000	n/a	421502	160	160
422.0190000000	n/a	422019	190	190
423.1495000000	n/a	423149.5	113	113
427.8160000000	n/a	427816	12000	12000
430.1495000000	n/a	430149.5	21000	21000
432.4660000000	n/a	432466	39000	39000
434.8995000000	n/a	434899.5	48000	48000
437.1825000000	n/a	437182.5	5300	5300
439.6155000000	n/a	439615.5	6500	6500
442.0650000000	n/a	442065	7600	7600
444.5320000000	n/a	444532	8400	8400
446.8650000000	n/a	446865	9700	9700
449.2020313612	n/a	449202.0314	79997	79997
452.2015000000	n/a	452201.5	111	111
452.9340000000	n/a	452934	121	121
453.6850000000	n/a	453685	181	181
454.3345000000	n/a	454334.5	191	191
