onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	209	209
4.4830000000	n/a	4483	207	207
6.6160000000	n/a	6616	201	201
9.1495000000	n/a	9149.5	202	202
11.4330000000	n/a	11433	208	208
13.5330000000	n/a	13533	205	205
16.0495000000	n/a	16049.5	204	204
18.4825000000	n/a	18482.5	203	203
23.8655000000	n/a	23865.5	210	210
27.1825000000	n/a	27182.5	206	206
29.3825000000	n/a	29382.5	203	203
31.4655000000	n/a	31465.5	204	204
33.5825000000	n/a	33582.5	207	207
35.6820000000	n/a	35682	205	205
37.7655000000	n/a	37765.5	202	202
39.9150000000	n/a	39915	208	208
42.1315000000	n/a	42131.5	209	209
46.8990000000	n/a	46899	210	210
49.9645000000	n/a	49964.5	203	203
52.4480000000	n/a	52448	202	202
54.4975000000	n/a	54497.5	205	205
56.5305000000	n/a	56530.5	201	201
58.7315000000	n/a	58731.5	209	209
60.7810000000	n/a	60781	208	208
63.1310000000	n/a	63131	207	207
65.2805000000	n/a	65280.5	204	204
69.2640000000	n/a	69264	210	210
96.8630000000	n/a	96863	1300	1300
99.3125000000	n/a	99312.5	2100	2100
101.7795000000	n/a	101779.5	3800	3800
104.1965000000	n/a	104196.5	4400	4400
106.6028180250	n/a	106602.818	79997	79997
110.2135000000	n/a	110213.5	130	130
111.2795000000	n/a	111279.5	110	110
112.1805000000	n/a	112180.5	180	180
112.9965000000	n/a	112996.5	140	140
114.8620000000	n/a	114862	113	113
119.3780000000	n/a	119378	1900	1900
121.8950000000	n/a	121895	2200	2200
124.1615000000	n/a	124161.5	34000	34000
126.5615000000	n/a	126561.5	41000	41000
129.0785000000	n/a	129078.5	56000	56000
131.3089776940	n/a	131308.9777	79997	79997
134.5465000000	n/a	134546.5	190	190
135.7455000000	n/a	135745.5	120	120
140.1285000000	n/a	140128.5	111	111
141.4125000000	n/a	141412.5	161	161
142.1790000000	n/a	142179	141	141
144.4440000000	n/a	144444	114	114
148.9445000000	n/a	148944.5	1500	1500
151.2775000000	n/a	151277.5	2300	2300
153.5600000000	n/a	153560	3400	3400
155.9270000000	n/a	155927	4700	4700
158.4105000000	n/a	158410.5	51	51
160.7427912710	n/a	160742.7913	79997	79997
163.8115000000	n/a	163811.5	150	150
165.8610000000	n/a	165861	140	140
166.4785000000	n/a	166478.5	170	170
167.5110000000	n/a	167511	110	110
168.9100000000	n/a	168910	113	113
173.4095000000	n/a	173409.5	1200	1200
175.8595000000	n/a	175859.5	2700	2700
178.3930000000	n/a	178393	3900	3900
180.6600000000	n/a	180660	43000	43000
183.1595000000	n/a	183159.5	54000	54000
185.5760000000	n/a	185576	61000	61000
187.8004427290	n/a	187800.4427	79997	79997
191.6435000000	n/a	191643.5	120	120
192.6770000000	n/a	192677	170	170
193.5270000000	n/a	193527	190	190
194.4095000000	n/a	194409.5	111	111
