onset	duration	sample	value	trial_type
1.9995000000	n/a	1999.5	202	202
4.1495000000	n/a	4149.5	209	209
6.1995000000	n/a	6199.5	206	206
8.3330000000	n/a	8333	204	204
10.8160000000	n/a	10816	205	205
13.0490000000	n/a	13049	207	207
15.0830000000	n/a	15083	201	201
17.3490000000	n/a	17349	203	203
21.4510000000	n/a	21451	210	210
24.5160000000	n/a	24516	205	205
26.7990000000	n/a	26799	207	207
28.8990000000	n/a	28899	201	201
31.2650000000	n/a	31265	206	206
33.7155000000	n/a	33715.5	204	204
35.9985000000	n/a	35998.5	203	203
38.1315000000	n/a	38131.5	208	208
40.3980000000	n/a	40398	209	209
44.3330000000	n/a	44333	210	210
47.3975000000	n/a	47397.5	203	203
49.8145000000	n/a	49814.5	201	201
52.1975000000	n/a	52197.5	202	202
54.3475000000	n/a	54347.5	209	209
56.7140000000	n/a	56714	207	207
58.7975000000	n/a	58797.5	204	204
61.0640000000	n/a	61064	205	205
63.4640000000	n/a	63464	208	208
67.6995000000	n/a	67699.5	210	210
98.1620000000	n/a	98162	12000	12000
100.5795000000	n/a	100579.5	270000	270000
102.8960000000	n/a	102896	3600	3600
105.2455000000	n/a	105245.5	4800	4800
107.4861390820	n/a	107486.1391	79997	79997
111.3320000000	n/a	111332	171	171
112.7310000000	n/a	112731	132	132
113.3315000000	n/a	113331.5	160	160
114.2980000000	n/a	114298	180	180
117.5450000000	n/a	117545	115	115
122.0445000000	n/a	122044.5	1700	1700
124.3615000000	n/a	124361.5	2800	2800
126.8445000000	n/a	126844.5	3400	3400
129.0722032470	n/a	129072.2032	79997	79997
132.6975000000	n/a	132697.5	170	170
133.4975000000	n/a	133497.5	180	180
134.3640000000	n/a	134364	140	140
136.8440000000	n/a	136844	113	113
141.8440000000	n/a	141844	1400	1400
144.3605000000	n/a	144360.5	2300	2300
146.8270000000	n/a	146827	3600	3600
149.1605000000	n/a	149160.5	4700	4700
151.4260453530	n/a	151426.0454	79997	79997
154.4295000000	n/a	154429.5	140	140
155.1460000000	n/a	155146	130	130
155.6795000000	n/a	155679.5	160	160
156.4300000000	n/a	156430	170	170
157.5270000000	n/a	157527	113	113
162.0430000000	n/a	162043	1900	1900
164.3765000000	n/a	164376.5	2400	2400
166.6430000000	n/a	166643	3500	3500
168.9930000000	n/a	168993	4800	4800
171.4095000000	n/a	171409.5	5100	5100
173.6628390970	n/a	173662.8391	79997	79997
178.5115000000	n/a	178511.5	190	190
179.2285000000	n/a	179228.5	140	140
180.3285000000	n/a	180328.5	150	150
181.2790000000	n/a	181279	180	180
181.9445000000	n/a	181944.5	110	110
183.4425000000	n/a	183442.5	113	113
188.4585000000	n/a	188458.5	1600	1600
190.7920000000	n/a	190792	2800	2800
193.2925000000	n/a	193292.5	3400	3400
195.6415000000	n/a	195641.5	4300	4300
